PMID,included,full_article,exclusion_reasons,third,during_review
35343622,FALSE,FALSE,methodological,FALSE,FALSE
35337365,TRUE,FALSE,NA,FALSE,FALSE
35289710,TRUE,FALSE,NA,FALSE,FALSE
35281934,FALSE,FALSE,no_paitc,FALSE,FALSE
35280921,FALSE,FALSE,no_paitc,FALSE,FALSE
35279814,TRUE,FALSE,NA,FALSE,FALSE
35277411,FALSE,FALSE,no_paitc,FALSE,FALSE
35272073,FALSE,FALSE,no_paitc,FALSE,FALSE
35267593,FALSE,FALSE,methodological,FALSE,FALSE
35232230,TRUE,FALSE,NA,FALSE,FALSE
35179764,FALSE,FALSE,no_itc,FALSE,FALSE
35175308,TRUE,FALSE,NA,FALSE,FALSE
35158805,FALSE,TRUE,other_paitc,FALSE,FALSE
35157216,TRUE,FALSE,NA,FALSE,FALSE
35138877,FALSE,FALSE,no_paitc,FALSE,FALSE
35129275,FALSE,FALSE,not_original_article,FALSE,FALSE
35128059,FALSE,FALSE,wrong_topic,FALSE,FALSE
35114819,TRUE,FALSE,NA,FALSE,FALSE
35106186,FALSE,FALSE,no_paitc,FALSE,FALSE
35090692,FALSE,FALSE,not_original_article,FALSE,FALSE
35090691,FALSE,FALSE,not_original_article,FALSE,FALSE
35090690,FALSE,FALSE,not_original_article,FALSE,FALSE
35090688,FALSE,TRUE,no_paitc,FALSE,FALSE
35073727,TRUE,FALSE,NA,FALSE,FALSE
35068168,TRUE,FALSE,NA,FALSE,FALSE
35058055,FALSE,FALSE,no_paitc,FALSE,FALSE
35044552,FALSE,FALSE,no_paitc,FALSE,FALSE
35042448,TRUE,FALSE,NA,FALSE,FALSE
35040693,TRUE,TRUE,NA,FALSE,FALSE
35030634,FALSE,TRUE,no_paitc,FALSE,FALSE
35028245,FALSE,FALSE,no_paitc,FALSE,FALSE
34999620,FALSE,FALSE,no_paitc,FALSE,FALSE
34981073,FALSE,FALSE,no_paitc,FALSE,FALSE
34978255,TRUE,FALSE,NA,FALSE,FALSE
34966607,FALSE,FALSE,no_paitc,FALSE,FALSE
34931610,FALSE,TRUE,no_paitc,FALSE,FALSE
34922383,TRUE,TRUE,NA,FALSE,FALSE
34912479,FALSE,TRUE,other_paitc,FALSE,FALSE
34912478,TRUE,FALSE,NA,FALSE,FALSE
34885106,FALSE,FALSE,no_paitc,FALSE,FALSE
34877623,TRUE,FALSE,NA,FALSE,FALSE
34864380,FALSE,FALSE,no_paitc,FALSE,FALSE
34841472,FALSE,FALSE,no_itc,FALSE,FALSE
34822128,FALSE,TRUE,no_paitc,FALSE,FALSE
34797506,TRUE,FALSE,NA,FALSE,FALSE
34765537,TRUE,FALSE,NA,FALSE,FALSE
34756316,FALSE,FALSE,other_paitc,FALSE,FALSE
34754257,TRUE,FALSE,NA,FALSE,FALSE
34754238,TRUE,FALSE,NA,FALSE,FALSE
34751591,TRUE,FALSE,NA,FALSE,FALSE
34740549,FALSE,FALSE,methodological,FALSE,FALSE
34733356,FALSE,FALSE,no_paitc,FALSE,FALSE
34714524,FALSE,TRUE,no_paitc,FALSE,FALSE
34714523,FALSE,TRUE,no_paitc,FALSE,FALSE
34672224,TRUE,FALSE,NA,FALSE,FALSE
34664200,FALSE,FALSE,not_original_article,FALSE,FALSE
34663559,FALSE,FALSE,no_paitc,FALSE,FALSE
34649296,FALSE,FALSE,no_paitc,FALSE,FALSE
34641745,FALSE,FALSE,no_paitc,FALSE,FALSE
34621996,FALSE,FALSE,no_paitc,FALSE,FALSE
34616492,TRUE,FALSE,NA,FALSE,FALSE
34608814,FALSE,FALSE,not_original_article,FALSE,FALSE
34597381,FALSE,FALSE,no_paitc,FALSE,FALSE
34589422,FALSE,FALSE,no_paitc,FALSE,FALSE
34586007,FALSE,FALSE,not_original_article,FALSE,FALSE
34561812,TRUE,FALSE,NA,FALSE,FALSE
34550592,FALSE,FALSE,not_original_article,FALSE,FALSE
34543649,FALSE,FALSE,no_paitc,FALSE,FALSE
34537953,FALSE,FALSE,no_paitc,FALSE,FALSE
34493319,TRUE,FALSE,NA,FALSE,FALSE
34488679,FALSE,FALSE,no_paitc,FALSE,FALSE
34484486,FALSE,FALSE,no_paitc,FALSE,FALSE
34465265,FALSE,TRUE,other_paitc,FALSE,FALSE
34445916,TRUE,FALSE,NA,FALSE,FALSE
34402784,FALSE,FALSE,no_paitc,FALSE,FALSE
34402153,FALSE,FALSE,no_paitc,FALSE,FALSE
34384311,FALSE,FALSE,no_paitc,FALSE,FALSE
34383273,FALSE,FALSE,wrong_topic,FALSE,FALSE
34372977,FALSE,FALSE,not_original_article,FALSE,FALSE
34369674,FALSE,FALSE,no_human,FALSE,FALSE
34368918,TRUE,FALSE,NA,FALSE,FALSE
34348729,FALSE,TRUE,no_paitc,FALSE,FALSE
34340647,FALSE,FALSE,no_paitc,FALSE,FALSE
34324742,FALSE,FALSE,methodological,FALSE,FALSE
34301232,FALSE,FALSE,no_paitc,FALSE,FALSE
34292540,FALSE,TRUE,other_paitc,FALSE,FALSE
34286894,TRUE,TRUE,NA,FALSE,FALSE
34285621,TRUE,FALSE,NA,FALSE,FALSE
34280545,FALSE,FALSE,no_paitc,FALSE,FALSE
34278835,FALSE,FALSE,no_paitc,FALSE,FALSE
34277983,TRUE,FALSE,NA,FALSE,FALSE
34277438,FALSE,FALSE,no_paitc,FALSE,FALSE
34274891,FALSE,FALSE,no_paitc,FALSE,FALSE
34256668,TRUE,FALSE,NA,FALSE,FALSE
34250585,FALSE,FALSE,other_paitc,FALSE,FALSE
34250584,TRUE,FALSE,NA,FALSE,FALSE
34236007,TRUE,FALSE,NA,FALSE,FALSE
34231369,FALSE,FALSE,no_paitc,FALSE,FALSE
34196111,FALSE,FALSE,methodological,FALSE,FALSE
34168470,FALSE,FALSE,other_paitc,FALSE,FALSE
34114935,FALSE,FALSE,no_paitc,FALSE,FALSE
34098842,FALSE,TRUE,no_paitc,FALSE,FALSE
34093199,FALSE,FALSE,no_paitc,FALSE,FALSE
34074239,FALSE,FALSE,no_paitc,FALSE,FALSE
34067521,TRUE,FALSE,NA,FALSE,FALSE
34067288,TRUE,FALSE,NA,FALSE,FALSE
34021886,FALSE,TRUE,result_not_described,FALSE,FALSE
34021585,TRUE,FALSE,NA,FALSE,FALSE
34018204,FALSE,FALSE,wrong_topic,FALSE,FALSE
34012392,FALSE,FALSE,no_paitc,FALSE,FALSE
33992428,FALSE,FALSE,no_paitc,FALSE,FALSE
33979770,TRUE,FALSE,NA,FALSE,FALSE
33970454,TRUE,FALSE,NA,FALSE,FALSE
33970192,FALSE,FALSE,no_paitc,FALSE,FALSE
33963582,FALSE,FALSE,not_original_article,FALSE,FALSE
33955326,TRUE,FALSE,NA,FALSE,FALSE
33941549,FALSE,FALSE,no_paitc,FALSE,FALSE
33929726,FALSE,FALSE,no_paitc,FALSE,FALSE
33896344,TRUE,FALSE,NA,FALSE,FALSE
33888418,FALSE,TRUE,no_paitc,FALSE,FALSE
33871055,FALSE,FALSE,no_paitc,FALSE,FALSE
33863352,FALSE,FALSE,no_paitc,FALSE,FALSE
33847901,TRUE,FALSE,NA,FALSE,FALSE
33839603,TRUE,FALSE,NA,FALSE,FALSE
33830214,TRUE,TRUE,NA,FALSE,FALSE
33822328,TRUE,FALSE,NA,FALSE,FALSE
33818140,TRUE,FALSE,NA,FALSE,FALSE
33791945,FALSE,TRUE,other_paitc,FALSE,FALSE
33781519,FALSE,TRUE,result_not_described,FALSE,FALSE
33768123,TRUE,FALSE,NA,FALSE,FALSE
33749159,FALSE,FALSE,no_paitc,FALSE,FALSE
33745079,TRUE,FALSE,NA,FALSE,FALSE
33733983,TRUE,FALSE,NA,FALSE,FALSE
33733815,TRUE,FALSE,NA,FALSE,FALSE
33709889,FALSE,FALSE,methodological,FALSE,FALSE
33691581,FALSE,TRUE,result_not_described,FALSE,FALSE
33687695,FALSE,TRUE,no_paitc,FALSE,FALSE
33675139,FALSE,FALSE,wrong_topic,FALSE,FALSE
33674928,FALSE,FALSE,wrong_topic,FALSE,FALSE
33664606,TRUE,FALSE,NA,FALSE,FALSE
33646565,FALSE,FALSE,no_paitc,FALSE,FALSE
33641593,FALSE,FALSE,no_paitc,FALSE,FALSE
33640861,FALSE,FALSE,no_paitc,FALSE,FALSE
33638735,TRUE,FALSE,NA,FALSE,FALSE
33626934,TRUE,FALSE,NA,FALSE,FALSE
33599181,FALSE,FALSE,no_paitc,FALSE,FALSE
33598857,FALSE,FALSE,no_itc,FALSE,FALSE
33556898,TRUE,FALSE,NA,FALSE,FALSE
33548517,FALSE,FALSE,no_paitc,FALSE,FALSE
33521161,FALSE,FALSE,no_paitc,FALSE,FALSE
33515055,FALSE,FALSE,no_paitc,FALSE,FALSE
33488773,TRUE,TRUE,NA,FALSE,FALSE
33472427,FALSE,FALSE,not_original_article,FALSE,FALSE
33469994,FALSE,FALSE,no_paitc,FALSE,FALSE
33461352,FALSE,TRUE,other_paitc,FALSE,FALSE
33448252,FALSE,FALSE,no_paitc,FALSE,FALSE
33442996,TRUE,TRUE,NA,FALSE,FALSE
33376418,FALSE,FALSE,no_itc,FALSE,FALSE
33435879,FALSE,FALSE,methodological,FALSE,FALSE
33423240,FALSE,FALSE,no_paitc,FALSE,FALSE
33393412,FALSE,FALSE,no_paitc,FALSE,FALSE
33377987,TRUE,FALSE,NA,FALSE,FALSE
33339864,FALSE,FALSE,wrong_topic,FALSE,FALSE
33292314,FALSE,TRUE,other_paitc,FALSE,FALSE
33291810,TRUE,FALSE,NA,FALSE,FALSE
33267884,FALSE,TRUE,no_paitc,FALSE,FALSE
33570887,FALSE,FALSE,not_original_article,FALSE,FALSE
33555772,FALSE,FALSE,not_original_article,FALSE,FALSE
33244703,TRUE,FALSE,NA,FALSE,FALSE
33228440,TRUE,FALSE,NA,FALSE,FALSE
33215981,FALSE,FALSE,no_itc,FALSE,FALSE
33213193,FALSE,TRUE,no_paitc,FALSE,FALSE
33193875,FALSE,FALSE,no_paitc,FALSE,FALSE
33155118,FALSE,FALSE,no_itc,FALSE,FALSE
33145711,FALSE,FALSE,not_original_article,FALSE,FALSE
33131206,FALSE,FALSE,methodological,FALSE,FALSE
33119182,FALSE,FALSE,no_paitc,FALSE,FALSE
33111986,FALSE,FALSE,methodological,FALSE,FALSE
33090003,FALSE,FALSE,no_paitc,FALSE,FALSE
33069083,FALSE,FALSE,wrong_topic,FALSE,FALSE
33067698,FALSE,TRUE,no_paitc,FALSE,FALSE
33062927,FALSE,FALSE,no_itc,FALSE,FALSE
33051255,FALSE,FALSE,no_paitc,FALSE,FALSE
33036834,FALSE,FALSE,wrong_topic,FALSE,FALSE
33015906,FALSE,FALSE,methodological,FALSE,FALSE
33001384,FALSE,FALSE,no_paitc,FALSE,FALSE
33570892,FALSE,TRUE,not_original_article,FALSE,FALSE
32993519,FALSE,FALSE,methodological,FALSE,FALSE
32957804,FALSE,FALSE,wrong_topic,FALSE,FALSE
32914703,FALSE,FALSE,no_paitc,FALSE,FALSE
32892660,TRUE,TRUE,NA,FALSE,FALSE
32856150,FALSE,FALSE,no_paitc,FALSE,FALSE
32853779,FALSE,FALSE,methodological,FALSE,FALSE
32839071,FALSE,FALSE,not_original_article,FALSE,FALSE
32827435,FALSE,FALSE,no_paitc,FALSE,FALSE
32804408,FALSE,FALSE,no_paitc,FALSE,FALSE
32801167,FALSE,FALSE,no_paitc,FALSE,FALSE
32798057,FALSE,FALSE,no_paitc,FALSE,FALSE
32761259,FALSE,FALSE,no_paitc,FALSE,FALSE
32749937,FALSE,FALSE,no_itc,FALSE,FALSE
32736593,FALSE,FALSE,no_paitc,FALSE,FALSE
32727171,FALSE,FALSE,no_paitc,FALSE,FALSE
32693948,FALSE,FALSE,other_paitc,FALSE,FALSE
32684669,FALSE,FALSE,methodological,FALSE,FALSE
32679702,FALSE,FALSE,no_paitc,FALSE,FALSE
32673969,FALSE,FALSE,no_paitc,FALSE,FALSE
32669839,FALSE,FALSE,no_itc,FALSE,FALSE
32659160,FALSE,FALSE,methodological,FALSE,FALSE
32648475,TRUE,FALSE,NA,FALSE,FALSE
32636183,FALSE,FALSE,no_paitc,FALSE,FALSE
32627297,FALSE,FALSE,no_paitc,FALSE,FALSE
32602756,TRUE,FALSE,NA,FALSE,FALSE
32596834,FALSE,FALSE,methodological,FALSE,FALSE
32568666,FALSE,FALSE,no_paitc,FALSE,FALSE
32561336,TRUE,FALSE,NA,FALSE,FALSE
32540383,FALSE,FALSE,methodological,FALSE,FALSE
32540233,FALSE,FALSE,methodological,FALSE,FALSE
32524498,FALSE,FALSE,methodological,FALSE,FALSE
32499262,FALSE,FALSE,wrong_topic,FALSE,FALSE
32490682,FALSE,FALSE,no_paitc,FALSE,FALSE
32475340,FALSE,FALSE,wrong_topic,FALSE,FALSE
32470056,FALSE,FALSE,wrong_topic,FALSE,FALSE
32456710,FALSE,FALSE,no_itc,FALSE,FALSE
32454812,FALSE,FALSE,no_paitc,FALSE,FALSE
32424805,TRUE,FALSE,NA,FALSE,FALSE
32412387,FALSE,FALSE,other_paitc,FALSE,FALSE
32395870,FALSE,FALSE,methodological,FALSE,FALSE
32386269,FALSE,FALSE,no_paitc,FALSE,FALSE
32380428,FALSE,FALSE,no_paitc,FALSE,FALSE
32371431,TRUE,FALSE,NA,FALSE,FALSE
32367407,FALSE,FALSE,no_paitc,FALSE,FALSE
32327161,FALSE,FALSE,review,FALSE,FALSE
32308623,FALSE,FALSE,no_paitc,FALSE,FALSE
32301116,FALSE,FALSE,no_itc,FALSE,FALSE
32299269,TRUE,FALSE,NA,FALSE,FALSE
32290309,FALSE,FALSE,no_paitc,FALSE,FALSE
32278674,FALSE,FALSE,no_paitc,FALSE,FALSE
32253560,FALSE,FALSE,no_paitc,FALSE,FALSE
32222903,TRUE,FALSE,NA,FALSE,FALSE
32221596,FALSE,FALSE,no_paitc,FALSE,FALSE
32220214,TRUE,FALSE,NA,FALSE,FALSE
32208038,FALSE,FALSE,no_paitc,FALSE,FALSE
32191592,FALSE,TRUE,other_paitc,FALSE,FALSE
32190414,FALSE,FALSE,no_paitc,FALSE,FALSE
32185590,FALSE,FALSE,no_paitc,FALSE,FALSE
32182248,FALSE,FALSE,no_paitc,FALSE,FALSE
32122024,FALSE,FALSE,wrong_topic,FALSE,FALSE
32115845,FALSE,FALSE,methodological,FALSE,FALSE
32063399,FALSE,FALSE,methodological,FALSE,FALSE
32057373,FALSE,FALSE,no_paitc,FALSE,FALSE
32049837,FALSE,FALSE,no_paitc,FALSE,FALSE
32019141,FALSE,FALSE,no_paitc,FALSE,FALSE
32011182,FALSE,FALSE,no_paitc,FALSE,FALSE
32007196,FALSE,FALSE,wrong_topic,FALSE,FALSE
31985301,TRUE,TRUE,NA,FALSE,FALSE
31948278,TRUE,FALSE,NA,FALSE,FALSE
31943429,TRUE,FALSE,NA,FALSE,FALSE
31932080,FALSE,FALSE,no_paitc,FALSE,FALSE
31930460,FALSE,FALSE,wrong_topic,FALSE,FALSE
31919360,FALSE,FALSE,wrong_topic,FALSE,FALSE
31917873,FALSE,FALSE,no_paitc,FALSE,FALSE
31916448,FALSE,FALSE,no_paitc,FALSE,FALSE
31872771,TRUE,FALSE,NA,FALSE,FALSE
31871432,FALSE,FALSE,no_paitc,FALSE,FALSE
31865547,TRUE,FALSE,NA,FALSE,FALSE
31856172,FALSE,FALSE,no_paitc,FALSE,FALSE
31838711,FALSE,FALSE,not_original_article,FALSE,FALSE
31838710,FALSE,FALSE,not_original_article,FALSE,FALSE
31830264,FALSE,FALSE,no_paitc,FALSE,FALSE
31813087,TRUE,TRUE,NA,FALSE,FALSE
31813086,TRUE,TRUE,NA,FALSE,FALSE
31774340,FALSE,FALSE,no_paitc,FALSE,FALSE
31745252,FALSE,TRUE,not_original_article,FALSE,FALSE
31743962,FALSE,FALSE,wrong_topic,FALSE,FALSE
31719453,FALSE,FALSE,wrong_topic,FALSE,FALSE
31699438,TRUE,FALSE,NA,FALSE,FALSE
31686561,TRUE,FALSE,NA,FALSE,FALSE
31686559,TRUE,FALSE,NA,FALSE,FALSE
31673882,FALSE,FALSE,no_paitc,FALSE,FALSE
31663466,FALSE,TRUE,no_paitc,FALSE,FALSE
31652347,FALSE,FALSE,no_paitc,FALSE,FALSE
31642037,TRUE,FALSE,NA,FALSE,FALSE
31640567,FALSE,FALSE,no_paitc,FALSE,FALSE
31640435,TRUE,FALSE,NA,FALSE,FALSE
31632108,FALSE,TRUE,no_paitc,FALSE,FALSE
31607912,FALSE,FALSE,no_paitc,FALSE,FALSE
31602601,FALSE,TRUE,no_paitc,FALSE,FALSE
31588564,FALSE,FALSE,no_paitc,FALSE,FALSE
31587138,FALSE,FALSE,no_paitc,FALSE,FALSE
31564931,TRUE,FALSE,NA,FALSE,FALSE
31555968,FALSE,FALSE,methodological,FALSE,FALSE
31512141,FALSE,FALSE,not_original_article,FALSE,FALSE
31489255,FALSE,FALSE,no_paitc,FALSE,FALSE
31464152,FALSE,FALSE,no_paitc,FALSE,FALSE
31440980,FALSE,FALSE,no_paitc,FALSE,FALSE
31435770,FALSE,FALSE,no_paitc,FALSE,FALSE
31417326,TRUE,FALSE,NA,FALSE,FALSE
31412011,TRUE,FALSE,NA,FALSE,FALSE
31390809,FALSE,FALSE,no_paitc,FALSE,FALSE
31368653,FALSE,FALSE,methodological,FALSE,FALSE
31364979,TRUE,FALSE,NA,FALSE,FALSE
31355224,FALSE,FALSE,no_paitc,FALSE,FALSE
31348264,FALSE,FALSE,no_paitc,FALSE,FALSE
31290203,FALSE,FALSE,feasibility,FALSE,FALSE
31258524,FALSE,FALSE,wrong_topic,FALSE,FALSE
31250534,FALSE,FALSE,methodological,FALSE,FALSE
31196844,FALSE,FALSE,no_paitc,FALSE,FALSE
31192959,FALSE,FALSE,no_paitc,FALSE,FALSE
31192957,FALSE,FALSE,no_paitc,FALSE,FALSE
31190671,FALSE,FALSE,review,FALSE,FALSE
31168745,FALSE,FALSE,no_itc,FALSE,FALSE
31140620,FALSE,FALSE,no_paitc,FALSE,FALSE
31140123,TRUE,FALSE,NA,FALSE,FALSE
31133348,FALSE,FALSE,no_paitc,FALSE,FALSE
31124741,FALSE,FALSE,not_original_article,FALSE,FALSE
31124724,FALSE,FALSE,not_original_article,FALSE,FALSE
31102627,FALSE,FALSE,no_paitc,FALSE,FALSE
31099402,FALSE,FALSE,no_paitc,FALSE,FALSE
31059803,FALSE,FALSE,no_paitc,FALSE,FALSE
31045839,FALSE,FALSE,protocol,FALSE,FALSE
31021449,FALSE,FALSE,no_paitc,FALSE,FALSE
31018251,FALSE,FALSE,no_paitc,FALSE,FALSE
30965114,FALSE,FALSE,no_paitc,FALSE,FALSE
30964361,TRUE,FALSE,NA,FALSE,FALSE
30963514,FALSE,FALSE,no_paitc,FALSE,FALSE
35157413,FALSE,FALSE,no_paitc,FALSE,FALSE
30900099,FALSE,FALSE,no_paitc,FALSE,FALSE
30899278,FALSE,FALSE,no_paitc,FALSE,FALSE
30879249,FALSE,FALSE,no_paitc,FALSE,FALSE
30864105,FALSE,FALSE,no_paitc,FALSE,FALSE
30852924,TRUE,FALSE,NA,FALSE,FALSE
30835737,FALSE,FALSE,no_paitc,FALSE,FALSE
30806520,TRUE,FALSE,NA,FALSE,FALSE
30786783,TRUE,FALSE,NA,FALSE,FALSE
30758745,TRUE,FALSE,NA,FALSE,FALSE
30758237,FALSE,TRUE,no_paitc,FALSE,FALSE
30735443,FALSE,FALSE,no_paitc,FALSE,FALSE
30727745,FALSE,FALSE,no_paitc,FALSE,FALSE
30706364,FALSE,TRUE,no_paitc,FALSE,FALSE
31211542,FALSE,FALSE,review,FALSE,FALSE
30698076,FALSE,FALSE,methodological,FALSE,FALSE
30689458,FALSE,FALSE,no_paitc,FALSE,FALSE
30670074,FALSE,FALSE,methodological,FALSE,FALSE
30661638,FALSE,FALSE,methodological,FALSE,FALSE
30649973,FALSE,TRUE,no_paitc,FALSE,FALSE
30639473,FALSE,FALSE,no_paitc,FALSE,FALSE
30639069,FALSE,FALSE,not_original_article,FALSE,FALSE
30635226,FALSE,FALSE,no_paitc,FALSE,FALSE
30617044,FALSE,FALSE,no_paitc,FALSE,FALSE
30612667,FALSE,FALSE,not_original_article,FALSE,FALSE
30610657,FALSE,FALSE,no_itc,FALSE,FALSE
30598174,FALSE,FALSE,not_original_article,FALSE,FALSE
30595674,FALSE,FALSE,methodological,FALSE,FALSE
30591022,FALSE,TRUE,no_paitc,FALSE,FALSE
30588048,FALSE,FALSE,no_paitc,FALSE,FALSE
30567533,TRUE,FALSE,NA,FALSE,FALSE
30563395,FALSE,TRUE,other_paitc,FALSE,FALSE
30532569,FALSE,FALSE,other_paitc,FALSE,FALSE
30489166,FALSE,FALSE,no_paitc,FALSE,FALSE
30474450,FALSE,TRUE,other_paitc,FALSE,FALSE
30472749,TRUE,FALSE,NA,FALSE,FALSE
30465228,FALSE,FALSE,review,FALSE,FALSE
30464564,FALSE,FALSE,no_paitc,FALSE,FALSE
30464563,FALSE,TRUE,no_paitc,FALSE,FALSE
30429149,FALSE,FALSE,no_paitc,FALSE,FALSE
30426462,FALSE,FALSE,no_paitc,FALSE,FALSE
30401604,FALSE,FALSE,no_paitc,FALSE,FALSE
30388073,TRUE,FALSE,NA,FALSE,FALSE
30362839,TRUE,FALSE,NA,FALSE,FALSE
30349228,FALSE,FALSE,no_paitc,FALSE,FALSE
30314617,TRUE,FALSE,NA,FALSE,FALSE
30312378,FALSE,FALSE,wrong_topic,FALSE,FALSE
30309978,TRUE,FALSE,NA,FALSE,FALSE
30304407,FALSE,FALSE,no_itc,FALSE,FALSE
30303022,FALSE,FALSE,no_paitc,FALSE,FALSE
30298279,FALSE,FALSE,review,FALSE,FALSE
30293207,FALSE,FALSE,review,FALSE,FALSE
30286627,TRUE,FALSE,NA,FALSE,FALSE
30277463,FALSE,FALSE,no_paitc,FALSE,FALSE
30942989,FALSE,TRUE,not_original_article,FALSE,FALSE
30227896,FALSE,FALSE,no_paitc,FALSE,FALSE
30209002,FALSE,FALSE,no_paitc,FALSE,FALSE
30205189,FALSE,FALSE,no_paitc,FALSE,FALSE
30188231,FALSE,TRUE,no_paitc,FALSE,FALSE
30168349,TRUE,FALSE,NA,FALSE,FALSE
30101613,FALSE,FALSE,no_paitc,FALSE,FALSE
30096625,FALSE,FALSE,no_paitc,FALSE,FALSE
30086654,TRUE,FALSE,NA,FALSE,FALSE
30052894,TRUE,FALSE,NA,FALSE,FALSE
30030817,FALSE,FALSE,other_paitc,FALSE,FALSE
29961001,FALSE,FALSE,review,FALSE,FALSE
29954828,FALSE,FALSE,no_paitc,FALSE,FALSE
29954322,FALSE,FALSE,no_paitc,FALSE,FALSE
29949047,TRUE,TRUE,NA,FALSE,FALSE
29949014,FALSE,FALSE,no_paitc,FALSE,FALSE
29861642,TRUE,FALSE,NA,FALSE,FALSE
29788164,FALSE,FALSE,no_paitc,FALSE,FALSE
29785685,FALSE,FALSE,no_paitc,FALSE,FALSE
29764245,TRUE,TRUE,NA,FALSE,FALSE
29753347,FALSE,FALSE,methodological,FALSE,FALSE
31646068,FALSE,FALSE,methodological,FALSE,FALSE
29692179,FALSE,FALSE,no_paitc,FALSE,FALSE
29645352,FALSE,FALSE,no_itc,FALSE,FALSE
29641566,FALSE,FALSE,no_paitc,FALSE,FALSE
