PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,notes,date
33768123,Comparative Effectiveness of Remestemcel-L-rknd versus Ruxolitinib in Pediatric Patients with Steroid-Refractory Acute Graft-Versus-Host Disease using Simulated Treatment Comparisons,"Tremblay G, Tomaras D, Strati E, Forsythe A.",J Health Econ Outcomes Res. 2021 Feb 23;8(1):10-17. doi: 10.36469/jheor.2021.19008.,Tremblay G,J Health Econ Outcomes Res,2021,26/03/2021,PMC7983491,NA,10.36469/jheor.2021.19008,,07/08/2022
33745079,Regorafenib versus cabozantinb as second-line treatment after sorafenib for unresectable hepatocellular carcinoma: matching-adjusted indirect comparison analysis,"Casadei-Gardini A, Rimassa L, Rimini M, Yoo C, Ryoo BY, Lonardi S, Masi G, Kim HD, Vivaldi C, Ryu MH, Rizzato MD, Salani F, Bang Y, Pellino A, Catanese S, Burgio V, Cascinu S, Cucchetti A.",J Cancer Res Clin Oncol. 2021 Dec;147(12):3665-3671. doi: 10.1007/s00432-021-03602-w. Epub 2021 Mar 20.,Casadei-Gardini A,J Cancer Res Clin Oncol,2021,21/03/2021,NA,NA,10.1007/s00432-021-03602-w,,07/08/2022
33733983,"An indirect comparison between bosutinib, nilotinib and dasatinib in first-line chronic phase chronic myeloid leukemia","Muresan B, Mamolo C, Cappelleri JC, Leip E, Viqueira A, Heeg B.",Curr Med Res Opin. 2021 May;37(5):801-809. doi: 10.1080/03007995.2021.1896489. Epub 2021 Apr 2.,Muresan B,Curr Med Res Opin,2021,18/03/2021,NA,NA,10.1080/03007995.2021.1896489,,08/08/2022
33733815,Comparative effectiveness of glasdegib versus venetoclax combined with low-dose cytarabine in acute myeloid leukemia,"Tremblay G, Daniele P, Bell T, Chan G, Brown A, Cappelleri JC.",J Comp Eff Res. 2021 May;10(7):603-612. doi: 10.2217/cer-2020-0280. Epub 2021 Mar 18.,Tremblay G,J Comp Eff Res,2021,18/03/2021,NA,NA,10.2217/cer-2020-0280,,08/08/2022
33664606,Efficacy of rFVIIIFc versus Emicizumab for the Treatment of Patients with Hemophilia A without Inhibitors: Matching-Adjusted Indirect Comparison of A-LONG and HAVEN Trials,"Klamroth R, Wojciechowski P, AballÃ©a S, Diamand F, Hakimi Z, Nazir J, Abad-Franch L, Lethagen S, Santagostino E, Tarantino MD.",J Blood Med. 2021 Feb 25;12:115-122. doi: 10.2147/JBM.S288283. eCollection 2021.,Klamroth R,J Blood Med,2021,05/03/2021,PMC7921628,NA,10.2147/JBM.S288283,,08/08/2022
33638735,Is Atezolizumab Plus Bevacizumab for Unresectable Hepatocellular Carcinoma Superior Even to Lenvatinib? A Matching-Adjusted Indirect Comparison,"Casadei-Gardini A, Tada T, Shimose S, Kumada T, Niizeki T, Cascinu S, Cucchetti A.",Target Oncol. 2021 Mar;16(2):249-254. doi: 10.1007/s11523-021-00803-8. Epub 2021 Feb 27.,Casadei-Gardini A,Target Oncol,2021,27/02/2021,NA,NA,10.1007/s11523-021-00803-8,,08/08/2022
33626934,Matching-adjusted indirect comparison of palbociclib versus ribociclib and abemaciclib in hormone receptor-positive/HER2-negative advanced breast cancer,"Rugo HS, Haltner A, Zhan L, Tran A, Bananis E, Hooper B, Mitra D, Cameron C.",J Comp Eff Res. 2021 Apr;10(6):457-467. doi: 10.2217/cer-2020-0272. Epub 2021 Feb 25.,Rugo HS,J Comp Eff Res,2021,25/02/2021,NA,NA,10.2217/cer-2020-0272,,08/08/2022
33603419,Preliminary Cost-Effectiveness and Cost-Utility Analysis of Cemiplimab in Patients with Advanced Cutaneous Squamous Cell Carcinoma in Italy,"Ghetti G, D'Avella MC, Pradelli L.",Clinicoecon Outcomes Res. 2021 Feb 10;13:121-133. doi: 10.2147/CEOR.S295605. eCollection 2021.,Ghetti G,Clinicoecon Outcomes Res,2021,19/02/2021,PMC7882423,NA,10.2147/CEOR.S295605,"No results provided for this ITC (economics analysis), therefore excluded",XX
33556898,A matching-adjusted indirect comparison of combination nivolumab plus ipilimumab with BRAF plus MEK inhibitors for the treatment of BRAF-mutant advanced melanoma(â˜†),"Tarhini AA, Toor K, Chan K, McDermott DF, Mohr P, Larkin J, Hodi FS, Lee CH, Rizzo JI, Johnson H, Moshyk A, Rao S, Kotapati S, Atkins MB.",ESMO Open. 2021 Apr;6(2):100050. doi: 10.1016/j.esmoop.2021.100050. Epub 2021 Feb 6.,Tarhini AA,ESMO Open,2021,08/02/2021,PMC7872980,NA,10.1016/j.esmoop.2021.100050,,24/08/2022
33488773,Matching comparisons of therapeutic efficacy suggest better clinical outcomes for patients treated with peginterferon beta-1a than with glatiramer acetate,"Scott TF, Su R, Xiong K, Altincatal A, Castrillo-Viguera C, Naylor ML.",Ther Adv Neurol Disord. 2021 Jan 12;14:1756286420975916. doi: 10.1177/1756286420975916. eCollection 2021.,Scott TF,Ther Adv Neurol Disord,2021,25/01/2021,PMC7809527,NA,10.1177/1756286420975916,,09/08/2022
33442996,Network meta-analysis of nivolumab plus ipilimumab in the second-line setting for advanced hepatocellular carcinoma,"Parikh ND, Marshall A, Betts KA, Song J, Zhao J, Yuan M, Wu A, Huff KD, Kim R.",J Comp Eff Res. 2021 Apr;10(5):343-352. doi: 10.2217/cer-2020-0236. Epub 2021 Jan 14.,Parikh ND,J Comp Eff Res,2021,14/01/2021,NA,NA,10.2217/cer-2020-0236,,09/08/2022
33377987,Recombinant FVIIIFc Versus BAY 94-9027 for Treatment of Patients with HaemophiliaÂ A: Comparative Efficacy Using a Matching Adjusted Indirect Comparison,"Hakimi Z, Santagostino E, Postma MJ, Nazir J.",Adv Ther. 2021 Feb;38(2):1263-1274. doi: 10.1007/s12325-020-01599-1. Epub 2020 Dec 30.,Hakimi Z,Adv Ther,2021,30/12/2020,PMC7889532,NA,10.1007/s12325-020-01599-1,,09/08/2022
33291810,A Matching-Adjusted Indirect Comparison of Pembrolizumab + Chemotherapy vs. Nivolumab + Ipilimumab as First-Line Therapies in Patients with PD-L1 TPS â‰¥1% Metastatic NSCLC,"Halmos B, Burke T, Kalyvas C, Insinga R, Vandormael K, Frederickson A, Piperdi B.",Cancers (Basel). 2020 Dec 4;12(12):3648. doi: 10.3390/cancers12123648.,Halmos B,Cancers (Basel),2020,09/12/2020,PMC7762014,NA,10.3390/cancers12123648,,09/08/2022
33244703,A Matching-Adjusted Indirect Comparison of Upadacitinib Versus Tofacitinib in Adults with Moderate-to-Severe Rheumatoid Arthritis,"Edwards CJ, Sawant R, Garg V, Du EX, Friedman A, Betts KA.",Rheumatol Ther. 2021 Mar;8(1):167-181. doi: 10.1007/s40744-020-00257-w. Epub 2020 Nov 26.,Edwards CJ,Rheumatol Ther,2021,27/11/2020,PMC7991064,NA,10.1007/s40744-020-00257-w,,09/08/2022
33228440,Front-line daratumumab-VTd versus standard-of-care in ASCT-eligible multiple myeloma: matching-adjusted indirect comparison,"Moreau P, Hebraud B, Facon T, Leleu X, Hulin C, Hashim M, Hu Y, Caillot D, Benboubker L, Zweegman S, Merz M, Weisel K, Salwender H, Mai EK, Goldschmidt H, Bertsch U, Vanquickelberghe V, Kampfenkel T, Boer C, Krotneva S, Proskorovsky I, He J, Lam A, Lee C, Cote S, Sonneveld P.",Immunotherapy. 2021 Feb;13(2):143-154. doi: 10.2217/imt-2020-0266. Epub 2020 Nov 24.,Moreau P,Immunotherapy,2021,24/11/2020,NA,NA,10.2217/imt-2020-0266,,24/08/2022
32969597,Efficacy of bendamustine and rituximab in unfit patients with previously untreated chronic lymphocytic leukemia. Indirect comparison with ibrutinib in a real-world setting. A GIMEMA-ERIC and US study,"Cuneo A, Mato AR, Rigolin GM, Piciocchi A, Gentile M, Laurenti L, Allan JN, Pagel JM, Brander DM, Hill BT, Winter A, Lamanna N, Tam CS, Jacobs R, Lansigan F, Barr PM, Shadman M, Skarbnik AP, Pu JJ, Sehgal AR, Schuster SJ, Shah NN, Ujjani CS, Roeker L, Orlandi EM, Billio A, Trentin L, Spacek M, Marchetti M, Tedeschi A, Ilariucci F, Gaidano G, Doubek M, Farina L, Molica S, Di Raimondo F, Coscia M, Mauro FR, de la Serna J, Medina Perez A, Ferrarini I, Cimino G, Cavallari M, Cucci R, Vignetti M, FoÃ  R, Ghia P; GIMEMA, European Research Initiative (ERIC) on CLL, US study group.",Cancer Med. 2020 Nov;9(22):8468-8479. doi: 10.1002/cam4.3470. Epub 2020 Sep 24.,Cuneo A,Cancer Med,2020,24/09/2020,PMC7666748,NA,10.1002/cam4.3470,Not a MAIC,XX
32892660,Indirect treatment comparison of the efficacy of patisiran and inotersen for hereditary transthyretin-mediated amyloidosis with polyneuropathy,"Gorevic P, Franklin J, Chen J, Sajeev G, Wang JCH, Lin H.",Expert Opin Pharmacother. 2021 Jan;22(1):121-129. doi: 10.1080/14656566.2020.1811850. Epub 2020 Sep 7.,Gorevic P,Expert Opin Pharmacother,2021,07/09/2020,NA,NA,10.1080/14656566.2020.1811850,,09/08/2022
32648475,Matching-adjusted indirect comparison: entrectinib versus crizotinib in ROS1 fusion-positive non-small cell lung cancer,"Chu P, Antoniou M, Bhutani MK, Aziez A, Daigl M.",J Comp Eff Res. 2020 Aug;9(12):861-876. doi: 10.2217/cer-2020-0063. Epub 2020 Jul 10.,Chu P,J Comp Eff Res,2020,11/07/2020,NA,NA,10.2217/cer-2020-0063,,24/08/2022
32602756,Tisagenlecleucel versus historical standard therapies for pediatric relapsed/refractory acute lymphoblastic leukemia,"Ma Q, Zhang J, O'Brien E, Martin AL, Agostinho AC.",J Comp Eff Res. 2020 Aug;9(12):849-860. doi: 10.2217/cer-2020-0069. Epub 2020 Jun 30.,Ma Q,J Comp Eff Res,2020,01/07/2020,NA,NA,10.2217/cer-2020-0069,,25/08/2022
32561336,"Comparing Efficacy, Safety, and Preinfusion Period of Axicabtagene Ciloleucel versus Tisagenlecleucel in Relapsed/Refractory Large B Cell Lymphoma","Oluwole OO, Jansen JP, Lin VW, Chan K, Keeping S, Navale L, Locke FL.",Biol Blood Marrow Transplant. 2020 Sep;26(9):1581-1588. doi: 10.1016/j.bbmt.2020.06.008. Epub 2020 Jun 17.,Oluwole OO,Biol Blood Marrow Transplant,2020,21/06/2020,NA,NA,10.1016/j.bbmt.2020.06.008,,12/08/2022
32424805,Comparative Efficacy of Cabozantinib and Regorafenib for Advanced Hepatocellular Carcinoma,"Kelley RK, Mollon P, Blanc JF, Daniele B, Yau T, Cheng AL, Valcheva V, Marteau F, Guerra I, Abou-Alfa GK.",Adv Ther. 2020 Jun;37(6):2678-2695. doi: 10.1007/s12325-020-01378-y. Epub 2020 May 18.,Kelley RK,Adv Ther,2020,20/05/2020,PMC7467441,NA,10.1007/s12325-020-01378-y,,12/08/2022
32371431,"Comparative effectiveness of improvement in pain and physical function for baricitinib versus adalimumab, tocilizumab and tofacitinib monotherapies in rheumatoid arthritis patients who are naÃ¯ve to treatment with biologic or conventional synthetic disease-modifying antirheumatic drugs: a matching-adjusted indirect comparison","Fautrel B, Zhu B, Taylor PC, van de Laar M, Emery P, De Leonardis F, Kannowski CL, Nicolay C, Kadziola Z, De La Torre I, Fleischmann R.",RMD Open. 2020 Apr;6(1):e001131. doi: 10.1136/rmdopen-2019-001131.,Fautrel B,RMD Open,2020,07/05/2020,PMC7299519,NA,10.1136/rmdopen-2019-001131,,12/08/2022
32299269,Indirect comparisons of ixekizumab versus three interleukin-23 p19 inhibitors in patients with moderate-to-severe plaque psoriasis - efficacy findings up to week 12,"Gottlieb AB, Saure D, Wilhelm S, Dossenbach M, Schuster C, Smith SD, Ramot Y, ThaÃ§i D.",J Dermatolog Treat. 2022 Feb;33(1):54-61. doi: 10.1080/09546634.2020.1747592. Epub 2020 Apr 17.,Gottlieb AB,J Dermatolog Treat,2022,18/04/2020,NA,NA,10.1080/09546634.2020.1747592,,25/08/2022
32222903,Efficacy and Treatment Burden of Intravitreal Aflibercept Versus Intravitreal Ranibizumab Treat-and-Extend Regimens at 2Â Years: Network Meta-Analysis Incorporating Individual Patient Data Meta-Regression and Matching-Adjusted Indirect Comparison,"Ohji M, Lanzetta P, Korobelnik JF, Wojciechowski P, Taieb V, Deschaseaux C, Janer D, Tuckmantel C.",Adv Ther. 2020 May;37(5):2184-2198. doi: 10.1007/s12325-020-01298-x. Epub 2020 Mar 28.,Ohji M,Adv Ther,2020,31/03/2020,PMC7467478,NA,10.1007/s12325-020-01298-x,,12/08/2022
32220214,Matching-adjusted indirect treatment comparison of siponimod and other disease modifying treatments in secondary progressive multiple sclerosis,"Samjoo IA, Worthington E, Haltner A, Cameron C, Nicholas R, Rouyrre N, Dahlke F, Adlard N.",Curr Med Res Opin. 2020 Jul;36(7):1157-1166. doi: 10.1080/03007995.2020.1747999. Epub 2020 Apr 14.,Samjoo IA,Curr Med Res Opin,2020,30/03/2020,NA,NA,10.1080/03007995.2020.1747999,,31/08/2022
31985301,Effectiveness comparison and incremental cost-per-responder analysis of calcipotriene 0.005%/betamethasone dipropionate 0.064% foam vs. halobetasol 0.01%/tazarotene 0.045% lotion for plaque psoriasis: a matching-adjusted indirect comparative analysis,"Wu JJ, Hansen JB, Patel DS, Nyholm N, Veverka KA, Swensen AR.",J Med Econ. 2020 Jun;23(6):641-649. doi: 10.1080/13696998.2020.1722139. Epub 2020 Mar 2.,Wu JJ,J Med Econ,2020,28/01/2020,NA,NA,10.1080/13696998.2020.1722139,,13/08/2022
31948278,Comparative safety and efficacy of ozanimod versus fingolimod for relapsing multiple sclerosis,"Swallow E, Patterson-Lomba O, Yin L, Mehta R, Pelletier C, Kao D, Sheffield JK, Stonehouse T, Signorovitch J.",J Comp Eff Res. 2020 Mar;9(4):275-285. doi: 10.2217/cer-2019-0169. Epub 2020 Jan 17.,Swallow E,J Comp Eff Res,2020,18/01/2020,NA,NA,10.2217/cer-2019-0169,,12/08/2022
31943429,Matching-adjusted comparison of oral corticosteroid reduction in asthma: Systematic review of biologics,"Bourdin A, Husereau D, Molinari N, Golam S, Siddiqui MK, Lindner L, Xu X.",Clin Exp Allergy. 2020 Apr;50(4):442-452. doi: 10.1111/cea.13561. Epub 2020 Mar 20.,Bourdin A,Clin Exp Allergy,2020,17/01/2020,PMC7204869,NA,10.1111/cea.13561,,15/08/2022
31940225,Cost per PASI-75 responder of calcipotriol plus betamethasone dipropionate cutaneous foam versus nonbiologic systemic therapies for the treatment of plaque psoriasis in seven European countries,"Balak DMW, Carrascosa JM, Gregoriou S, Calzavara-Pinton P, Bewley A, Antunes J, Nyeland ME, Viola MG, Sawyer LM, Becla L.",J Dermatolog Treat. 2021 Nov;32(7):701-708. doi: 10.1080/09546634.2019.1707754. Epub 2020 Mar 6.,Balak DMW,J Dermatolog Treat,2021,16/01/2020,NA,NA,10.1080/09546634.2019.1707754,Reusing another MAIC,XX
31872771,Comparative effectiveness of nivolumab versus clinical practice for advanced gastric or gastroesophageal junction cancer,"Chau I, Ayers D, Goring S, Cope S, Korytowsky B, Abraham P.",J Comp Eff Res. 2020 Jan;9(2):103-114. doi: 10.2217/cer-2019-0145. Epub 2019 Dec 24.,Chau I,J Comp Eff Res,2020,25/12/2019,NA,NA,10.2217/cer-2019-0145,,01/09/2022
31865547,Treatment of Atrial Fibrillation Using Ablation Index-Guided Contact Force Ablation: A Matching-Adjusted Indirect Comparison to Cryoballoon Ablation,"Hussein A, Gupta D, De Potter T, Spin P, Eaton K, Goldstein L, Velleca M, Costa G, Grima D, Patel L, Stabile G.",Adv Ther. 2020 Feb;37(2):785-799. doi: 10.1007/s12325-019-01173-4. Epub 2019 Dec 21.,Hussein A,Adv Ther,2020,23/12/2019,PMC7004430,NA,10.1007/s12325-019-01173-4,,15/08/2022
31813087,Matching-Adjusted Indirect Comparison of Health-Related Quality of Life and Adverse Events of Apalutamide Versus Enzalutamide in Non-Metastatic Castration-Resistant Prostate Cancer,"Chowdhury S, Oudard S, Uemura H, Joniau S, Pilon D, Lefebvre P, McQuarrie K, Liu J, Dearden L, Sermon J, Van Sanden S, Diels J, Hadaschik BA.",Adv Ther. 2020 Jan;37(1):512-526. doi: 10.1007/s12325-019-01157-4. Epub 2019 Dec 7.,Chowdhury S,Adv Ther,2020,09/12/2019,NA,NA,10.1007/s12325-019-01157-4,,16/08/2022
31813086,Matching-Adjusted Indirect Comparison of the Efficacy of Apalutamide and Enzalutamide with ADT in the Treatment of Non-Metastatic Castration-Resistant Prostate Cancer,"Chowdhury S, Oudard S, Uemura H, Joniau S, Pilon D, Ladouceur M, Behl AS, Liu J, Dearden L, Sermon J, Van Sanden S, Diels J, Hadaschik BA.",Adv Ther. 2020 Jan;37(1):501-511. doi: 10.1007/s12325-019-01156-5. Epub 2019 Dec 7.,Chowdhury S,Adv Ther,2020,09/12/2019,PMC6979453,NA,10.1007/s12325-019-01156-5,,16/08/2022
31699438,Matching-adjusted Indirect Comparisons of the Efficacy and Safety of Acalabrutinib Versus Other Targeted Therapies in Relapsed/Refractory Mantle Cell Lymphoma,"Telford C, Kabadi SM, Abhyankar S, Song J, Signorovitch J, Zhao J, Yao Z.",Clin Ther. 2019 Nov;41(11):2357-2379.e1. doi: 10.1016/j.clinthera.2019.09.012. Epub 2019 Nov 4.,Telford C,Clin Ther,2019,09/11/2019,NA,NA,10.1016/j.clinthera.2019.09.012,,17/08/2022
31686561,"The effects of different schedules of bortezomib, melphalan, and prednisone for patients with newly diagnosed multiple myeloma who are transplant ineligible: a matching-adjusted indirect comparison","Mateos MV, San-Miguel J, Goldschmidt H, Sonneveld P, Dimopoulos MA, Heeg B, Hashim M, Deraedt W, Hu P, Lam A, He J.",Leuk Lymphoma. 2020 Mar;61(3):680-690. doi: 10.1080/10428194.2019.1675881. Epub 2019 Nov 5.,Mateos MV,Leuk Lymphoma,2020,06/11/2019,NA,NA,10.1080/10428194.2019.1675881,,17/08/2022
31686559,"A matching-adjusted indirect treatment comparison (MAIC) of daratumumab-bortezomib-melphalan-prednisone (D-VMP) versus lenalidomide-dexamethasone continuous (Rd continuous), lenalidomide-dexamethasone 18 months (Rd 18), and melphalan-prednisone-thalidomide (MPT)","Dimopoulos MA, Cavo M, Mateos MV, Facon T, Heeg B, van Beekhuizen S, Gebregergish SB, Nair S, Pisini M, Lam A, Slavcev M.",Leuk Lymphoma. 2020 Mar;61(3):714-720. doi: 10.1080/10428194.2019.1682571. Epub 2019 Nov 5.,Dimopoulos MA,Leuk Lymphoma,2020,06/11/2019,NA,NA,10.1080/10428194.2019.1682571,,18/08/2022
31642037,Using Matching-Adjusted Indirect Comparisons and Network Meta-analyses to Compare Efficacy of Brexanolone Injection with Selective Serotonin Reuptake Inhibitors for Treating Postpartum Depression,"Cooper MC, Kilvert HS, Hodgkins P, Roskell NS, Eldar-Lissai A.",CNS Drugs. 2019 Oct;33(10):1039-1052. doi: 10.1007/s40263-019-00672-w.,Cooper MC,CNS Drugs,2019,24/10/2019,PMC6825025,NA,10.1007/s40263-019-00672-w,,18/08/2022
31640435,Carfilzomib and dexamethasone versus eight cycles of bortezomib and dexamethasone in patients with relapsed or refractory multiple myeloma: an indirect comparison using data from the phase 3 ENDEAVOR and CASTOR trials,"Weisel K, Majer I, DeCosta L, Oriol A, Goldschmidt H, Ludwig H, Campioni M, Szabo Z, Dimopoulos M.",Leuk Lymphoma. 2020 Jan;61(1):37-46. doi: 10.1080/10428194.2019.1648806. Epub 2019 Oct 22.,Weisel K,Leuk Lymphoma,2020,24/10/2019,NA,NA,10.1080/10428194.2019.1648806,,18/08/2022
31564931,"Overall survival of glasdegib in combination with low-dose cytarabine, azacitidine, and decitabine among adult patients with previously untreated AML: comparative effectiveness using simulated treatment comparisons","Tremblay G, Westley T, Cappelleri JC, Arondekar B, Chan G, Bell TJ, Briggs A.",Clinicoecon Outcomes Res. 2019 Sep 6;11:551-565. doi: 10.2147/CEOR.S203482. eCollection 2019.,Tremblay G,Clinicoecon Outcomes Res,2019,01/10/2019,PMC6735653,NA,10.2147/CEOR.S203482,,18/08/2022
31417326,Matching-adjusted indirect comparisons of annualized bleeding rate and utilization of BAY 94-9027 versus three recombinant factor VIII agents for prophylaxis in patients with severe hemophilia A,"Batt K, Gao W, Ayyagari R, Deschaseaux C, Vashi PB, Yao Z, Wang Y, Kessabi S, Klamroth R.",J Blood Med. 2019 Jun 20;10:147-159. doi: 10.2147/JBM.S206806. eCollection 2019.,Batt K,J Blood Med,2019,17/08/2019,PMC6592019,NA,10.2147/JBM.S206806,,18/08/2022
31412011,"Cost-effectiveness of Pembrolizumab for Patients with Advanced, Unresectable, or Metastatic Urothelial Cancer Ineligible for Cisplatin-based Therapy","Patterson K, Prabhu V, Xu R, Li H, Meng Y, Zarabi N, Zhong Y, Batteson R, Pellissier J, Keefe S, Grivas P, de Wit R.",Eur Urol Oncol. 2019 Sep;2(5):565-571. doi: 10.1016/j.euo.2018.09.009. Epub 2018 Nov 8.,Patterson K,Eur Urol Oncol,2019,15/08/2019,NA,NA,10.1016/j.euo.2018.09.009,,18/08/2022
31364979,Comparative effectiveness of secukinumab and etanercept in biologic-naÃ¯ve patients with psoriatic arthritis assessed by matching-adjusted indirect comparison,"Mease P, Choy E, Nash P, Kalyvas C, Hunger M, Pricop L, Gandhi KK, Jugl SM, Thom H.",Eur J Rheumatol. 2018 Jul 1;6(3):113-121. doi: 10.5152/eurjrheum.2019.19057. Print 2019 Jul.,Mease P,Eur J Rheumatol,2018,01/08/2019,PMC6668637,NA,10.5152/eurjrheum.2019.19057,,18/08/2022
31218655,Cost Effectiveness of Blinatumomab Versus Inotuzumab Ozogamicin in Adult Patients with Relapsed or Refractory B-Cell Precursor Acute Lymphoblastic Leukemia in the United States,"Delea TE, Zhang X, Amdahl J, Boyko D, Dirnberger F, Campioni M, Cong Z.",Pharmacoeconomics. 2019 Sep;37(9):1177-1193. doi: 10.1007/s40273-019-00812-6.,Delea TE,Pharmacoeconomics,2019,21/06/2019,PMC6830399,NA,10.1007/s40273-019-00812-6,"Will be excluded because doesn't report any results, used within an economics analysis",18/08/2022
31140123,Indirect Treatment Comparison of Inotuzumab Ozogamicin Versus Blinatumomab for Relapsed or Refractory Acute Lymphoblastic Leukemia,"Proskorovsky I, Su Y, Fahrbach K, Vandendries E, PagÃ© V, Onyekwere U, Wang Y, Cappelleri JC, Stelljes M.",Adv Ther. 2019 Aug;36(8):2147-2160. doi: 10.1007/s12325-019-00991-w. Epub 2019 May 28.,Proskorovsky I,Adv Ther,2019,30/05/2019,PMC6822860,NA,10.1007/s12325-019-00991-w,,18/08/2022
30964361,"Matching-adjusted indirect comparison of bosutinib, dasatinib and nilotinib effect on survival and major cytogenetic response in treatment of second-line chronic phase chronic myeloid leukemia","Cortes JE, Muresan B, Mamolo C, Cappelleri JC, Crescenzo RJ, Su Y, Gambacorti-Passerini C, Heeg B, Douglas Smith B.",Curr Med Res Opin. 2019 Sep;35(9):1615-1622. doi: 10.1080/03007995.2019.1605239. Epub 2019 May 15.,Cortes JE,Curr Med Res Opin,2019,10/04/2019,NA,NA,10.1080/03007995.2019.1605239,,19/08/2022
30852924,Comparative efficacy of combination immunotherapy and targeted therapy in the treatment of BRAF-mutant advanced melanoma: a matching-adjusted indirect comparison,"Atkins MB, Tarhini A, Rael M, Gupte-Singh K, O'Brien E, Ritchings C, Rao S, McDermott DF.",Immunotherapy. 2019 May;11(7):617-629. doi: 10.2217/imt-2018-0208. Epub 2019 Mar 11.,Atkins MB,Immunotherapy,2019,12/03/2019,NA,NA,10.2217/imt-2018-0208,,19/08/2022
30806520,Matching-adjusted indirect comparison: secukinumab versus infliximab in biologic-naive patients with psoriatic arthritis,"Strand V, McInnes I, Mease P, Nash P, Thom H, Kalyvas C, Hunger M, Gandhi K, Pricop L, Jugl S, Choy E.",J Comp Eff Res. 2019 May;8(7):497-510. doi: 10.2217/cer-2018-0141. Epub 2019 Feb 26.,Strand V,J Comp Eff Res,2019,27/02/2019,NA,NA,10.2217/cer-2018-0141,,19/08/2022
30786783,Estimating the comparative efficacy of cladribine tablets versus alternative disease modifying treatments in active relapsing-remitting multiple sclerosis: adjusting for patient characteristics using meta-regression and matching-adjusted indirect treatment comparison approaches,"Berardi A, Siddiqui MK, Treharne C, Harty G, Wong SL.",Curr Med Res Opin. 2019 Aug;35(8):1371-1378. doi: 10.1080/03007995.2019.1585779. Epub 2019 Mar 29.,Berardi A,Curr Med Res Opin,2019,22/02/2019,NA,NA,10.1080/03007995.2019.1585779,,23/08/2022
