doi	section	ITC num	Ind studies num	questions	decision	first	second	third	car_t_cells
10.2147/jbm.s312885	methodology	2	NA	Treatment name 1	prior episodic treatment rfixfc	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s312885	methodology	2	NA	Treatment name 2	prior episodic treatment rix-fp	Blood coagulation factors	NA	NA	FALSE
10.1080/03007995.2021.1971182	methodology	1	NA	Treatment name 1	pegcetacoplan	IMMUNOSUPPRESSANTS	NA	NA	FALSE
10.1080/03007995.2021.1971182	methodology	1	NA	Treatment name 2	ravulizumab	Selective immunosuppressants	NA	NA	FALSE
10.1080/14760584.2021.1994858	methodology	1	NA	Treatment name 1	15-valent pneumococcal conjugate vaccine	Pneumococcal vaccines	NA	NA	FALSE
10.1080/14760584.2021.1994858	methodology	1	NA	Treatment name 2	20-valent pneumococcal conjugate vaccine	Pneumococcal vaccines	NA	NA	FALSE
10.2147/jbm.s321288	methodology	1	NA	Treatment name 1	damoctocog alfa pegol (bay 94-9027)	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s321288	methodology	1	NA	Treatment name 2	turoctocog alfa pegol (n8-gp)	Blood coagulation factors	NA	NA	FALSE
10.2147/ptt.s326121	methodology	1	NA	Treatment name 1	brodalumab	Interleukin inhibitors	NA	NA	FALSE
10.2147/ptt.s326121	methodology	1	NA	Treatment name 2	guselkumab	Interleukin inhibitors	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	1	NA	Treatment name 1	semaglutide 2.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	1	NA	Treatment name 2	dulaglutide 3.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	2	NA	Treatment name 1	semaglutide 2.0 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1210/clinem/dgab905	methodology	2	NA	Treatment name 2	dulaglutide 4.5 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1186/s40164-022-00268-z	methodology	1	NA	Treatment name 1	lisocabtagene maraleucel	ANTINEOPLASTIC AGENTS	NA	NA	TRUE
10.1186/s40164-022-00268-z	methodology	1	NA	Treatment name 2	tisagenlecleucel	Other antineoplastic agents	NA	NA	FALSE
10.1111/j.1743-7563.2011.01400.x	methodology	1	NA	Treatment name 1	bevacizumab + cisplatin	Monoclonal antibodies	Platinum compounds	NA	FALSE
10.1111/j.1743-7563.2011.01400.x	methodology	1	NA	Treatment name 2	pemetrexed + cisplatin	Folic acid analogues	Platinum compounds	NA	FALSE
10.1007/bf03261873	methodology	1	NA	Treatment name 1	guanfacine extended-release low dose	Imidazoline receptor agonists	NA	NA	FALSE
10.1007/bf03261873	methodology	1	NA	Treatment name 2	atomoxetine	Centrally acting sympathomimetics	NA	NA	FALSE
10.1007/bf03261873	methodology	2	NA	Treatment name 1	guanfacine extended-release mid dose	Imidazoline receptor agonists	NA	NA	FALSE
10.1007/bf03261873	methodology	2	NA	Treatment name 2	atomoxetine	Centrally acting sympathomimetics	NA	NA	FALSE
10.1007/bf03261873	methodology	3	NA	Treatment name 1	guanfacine extended-release high dose	Imidazoline receptor agonists	NA	NA	FALSE
10.1007/bf03261873	methodology	3	NA	Treatment name 2	atomoxetine	Centrally acting sympathomimetics	NA	NA	FALSE
10.1007/s40263-013-0102-x	methodology	1	NA	Treatment name 1	guanfacine extended release	Imidazoline receptor agonists	NA	NA	FALSE
10.1007/s40263-013-0102-x	methodology	1	NA	Treatment name 2	atomoxetine	Centrally acting sympathomimetics	NA	NA	FALSE
10.1185/03007995.2014.977992	methodology	1	NA	Treatment name 1	nilotinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1185/03007995.2014.977992	methodology	1	NA	Treatment name 2	dasatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.2217/cer.15.33	methodology	1	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	1	NA	Treatment name 2	telaprevir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	2	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	2	NA	Treatment name 2	boceprevir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	3	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	3	NA	Treatment name 2	simeprevir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	4	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	4	NA	Treatment name 2	sofosbuvir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	5	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	5	NA	Treatment name 2	peginterferon-Î± + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	6	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	6	NA	Treatment name 2	telaprevir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	7	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	7	NA	Treatment name 2	boceprevir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	8	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	8	NA	Treatment name 2	simeprevir + peginterferon-Î± + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.2217/cer.15.33	methodology	9	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.33	methodology	9	NA	Treatment name 2	peginterferon-Î± + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.1185/03007995.2015.1106934	methodology	1	NA	Treatment name 1	simeprevir + peginterferon alfa-2a + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.1185/03007995.2015.1106934	methodology	1	NA	Treatment name 2	peginterferon alfa-2a + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.1185/03007995.2015.1106934	methodology	2	NA	Treatment name 1	simeprevir + peginterferon alfa-2a + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.1185/03007995.2015.1106934	methodology	2	NA	Treatment name 2	peginterferon alfa-2a + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.1185/03007995.2015.1106934	methodology	3	NA	Treatment name 1	simeprevir + peginterferon alfa-2a + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.1185/03007995.2015.1106934	methodology	3	NA	Treatment name 2	peginterferon alfa-2a + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.1185/03007995.2015.1106934	methodology	4	NA	Treatment name 1	simeprevir + peginterferon alfa-2a + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.1185/03007995.2015.1106934	methodology	4	NA	Treatment name 2	peginterferon alfa-2a + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.1185/03007995.2015.1106934	methodology	5	NA	Treatment name 1	simeprevir + peginterferon alfa-2a + ribavirin	Antivirals for treatment of HCV infections	Interferons	Antivirals for treatment of HCV infections	FALSE
10.1185/03007995.2015.1106934	methodology	5	NA	Treatment name 2	peginterferon alfa-2a + ribavirin	Interferons	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.69	methodology	1	NA	Treatment name 1	daclatasvir + asunaprevir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.2217/cer.15.69	methodology	1	NA	Treatment name 2	sofosbuvir + ledipasvir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA	FALSE
10.1016/j.jtho.2016.05.029	methodology	1	NA	Treatment name 1	ceritinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1016/j.jtho.2016.05.029	methodology	1	NA	Treatment name 2	crizotinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1007/s40258-016-0271-0	methodology	1	NA	Treatment name 1	panobinostat + bortezomib + dexamethasone	Histone deacetylase (HDAC) inhibitors	Proteasome inhibitors	Glucocorticoids	FALSE
10.1007/s40258-016-0271-0	methodology	1	NA	Treatment name 2	lenalidomide + dexamethasone	Other immunosuppressants	Glucocorticoids	NA	FALSE
10.1186/s40734-017-0051-5	methodology	1	NA	Treatment name 1	deutetrabenazine	Other nervous system drugs	NA	NA	FALSE
10.1186/s40734-017-0051-5	methodology	1	NA	Treatment name 2	tetrabenazine	Other nervous system drugs	NA	NA	FALSE
10.1007/s12325-017-0564-1	methodology	1	NA	Treatment name 1	ibrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1007/s12325-017-0564-1	methodology	1	NA	Treatment name 2	obinutuzumab + chlorambucil	Monoclonal antibodies	Nitrogen mustard analogues	NA	FALSE
10.1007/s40744-017-0070-6	methodology	1	NA	Treatment name 1	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1007/s40744-017-0070-6	methodology	1	NA	Treatment name 2	secukinumab 150 mg	Interleukin inhibitors	NA	NA	FALSE
10.1007/s40744-017-0070-6	methodology	2	NA	Treatment name 1	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1007/s40744-017-0070-6	methodology	2	NA	Treatment name 2	secukinumab 300 mg	Interleukin inhibitors	NA	NA	FALSE
10.1080/13696998.2018.1443111	methodology	1	NA	Treatment name 1	ceritinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/13696998.2018.1443111	methodology	1	NA	Treatment name 2	crizotinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	1	NA	Treatment name 1	secukinumab 150 mg	Interleukin inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	1	NA	Treatment name 2	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	2	NA	Treatment name 1	secukinumab 300 mg	Interleukin inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	2	NA	Treatment name 2	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	3	NA	Treatment name 1	secukinumab 150 mg	Interleukin inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	3	NA	Treatment name 2	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	4	NA	Treatment name 1	secukinumab 300 mg	Interleukin inhibitors	NA	NA	FALSE
10.1007/s40744-018-0106-6	methodology	4	NA	Treatment name 2	adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.2147/cmar.s163478	methodology	1	NA	Treatment name 1	ribociclib	Cyclin-dependent kinase (CDK) inhibitors	NA	NA	FALSE
10.2147/cmar.s163478	methodology	1	NA	Treatment name 2	palbociclib	Cyclin-dependent kinase (CDK) inhibitors	NA	NA	FALSE
10.1093/europace/euy160	methodology	1	NA	Treatment name 1	rivaroxaban	Direct factor Xa inhibitors	NA	NA	FALSE
10.1093/europace/euy160	methodology	1	NA	Treatment name 2	rivaroxaban	Direct factor Xa inhibitors	NA	NA	FALSE
10.2217/cer-2018-0020	methodology	1	NA	Treatment name 1	sunitinib	Other protein kinase inhibitors	NA	NA	FALSE
10.2217/cer-2018-0020	methodology	1	NA	Treatment name 2	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.2217/cer-2018-0020	methodology	2	NA	Treatment name 1	sunitinib	Other protein kinase inhibitors	NA	NA	FALSE
10.2217/cer-2018-0020	methodology	2	NA	Treatment name 2	everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.1183/13993003.01393-2018	methodology	1	NA	Treatment name 1	benralizumab	Other systemic drugs for obstructive airway diseases	NA	NA	FALSE
10.1183/13993003.01393-2018	methodology	1	NA	Treatment name 2	mepolizumab	Other systemic drugs for obstructive airway diseases	NA	NA	FALSE
10.1080/03007995.2018.1541443	methodology	1	NA	Treatment name 1	ceritinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1080/03007995.2018.1541443	methodology	1	NA	Treatment name 2	crizotinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA	FALSE
10.1111/jdv.15369	methodology	1	NA	Treatment name 1	calcipotriol + betamethasone dipropionate aerosol foam	Other antipsoriatics for topical use	Corticosteroids, potent, other combinations	NA	FALSE
10.1111/jdv.15369	methodology	1	NA	Treatment name 2	apremilast	Selective immunosuppressants	NA	NA	FALSE
10.1111/jdv.15369	methodology	2	NA	Treatment name 1	calcipotriol + betamethasone dipropionate aerosol foam	Other antipsoriatics for topical use	Corticosteroids, potent, other combinations	NA	FALSE
10.1111/jdv.15369	methodology	2	NA	Treatment name 2	methotrexate	Folic acid analogues	NA	NA	FALSE
10.1111/jdv.15369	methodology	3	NA	Treatment name 1	calcipotriol + betamethasone dipropionate aerosol foam	Other antipsoriatics for topical use	Corticosteroids, potent, other combinations	NA	FALSE
10.1111/jdv.15369	methodology	3	NA	Treatment name 2	acitretin	Retinoids for treatment of psoriasis	NA	NA	FALSE
10.1111/jdv.15369	methodology	4	NA	Treatment name 1	calcipotriol + betamethasone dipropionate aerosol foam	Other antipsoriatics for topical use	Corticosteroids, potent, other combinations	NA	FALSE
10.1111/jdv.15369	methodology	4	NA	Treatment name 2	fumaric acid esters	Other antipsoriatics for systemic use	NA	NA	FALSE
10.1007/s12325-019-0873-7	methodology	1	NA	Treatment name 1	blinatumomab	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-0873-7	methodology	1	NA	Treatment name 2	inotuzumab ozogamicin	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-0873-7	methodology	2	NA	Treatment name 1	blinatumomab	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-0873-7	methodology	2	NA	Treatment name 2	inotuzumab ozogamicin	Monoclonal antibodies	NA	NA	FALSE
10.2217/cer-2018-0141	methodology	1	NA	Treatment name 1	secukinumab 150mg	Interleukin inhibitors	NA	NA	FALSE
10.2217/cer-2018-0141	methodology	1	NA	Treatment name 2	infliximab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.2217/cer-2018-0141	methodology	2	NA	Treatment name 1	secukinumab 300mg	Interleukin inhibitors	NA	NA	FALSE
10.2217/cer-2018-0141	methodology	2	NA	Treatment name 2	infliximab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.1080/03007995.2019.1605239	methodology	1	NA	Treatment name 1	bosutinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2019.1605239	methodology	1	NA	Treatment name 2	dasatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2019.1605239	methodology	2	NA	Treatment name 1	bosutinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.1080/03007995.2019.1605239	methodology	2	NA	Treatment name 2	nilotinib	Bcr-abl tyrosine kinase inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	1	NA	Treatment name 1	secukinumab 150 mg	Interleukin inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	1	NA	Treatment name 2	etanercept	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	2	NA	Treatment name 1	secukinumab 150 mg	Interleukin inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	2	NA	Treatment name 2	etanercept	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	3	NA	Treatment name 1	secukinumab 300mg	Interleukin inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	3	NA	Treatment name 2	etanercept	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	4	NA	Treatment name 1	secukinumab 300mg	Interleukin inhibitors	NA	NA	FALSE
10.5152/eurjrheum.2019.19057	methodology	4	NA	Treatment name 2	etanercept	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	1	NA	Treatment name 1	bay 94-9027	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	1	NA	Treatment name 2	rfviiifc	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	2	NA	Treatment name 1	bay 94-9027	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	2	NA	Treatment name 2	bax 855	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	3	NA	Treatment name 1	bay 94-9027	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	3	NA	Treatment name 2	NA	NA	NA	NA	NA
10.2147/jbm.s206806	methodology	4	NA	Treatment name 1	bay 94-9027	Blood coagulation factors	NA	NA	FALSE
10.2147/jbm.s206806	methodology	4	NA	Treatment name 2	rahf-pfm 2012	Blood coagulation factors	NA	NA	FALSE
10.1007/s40263-019-00672-w	methodology	1	NA	Treatment name 1	brexanolone	PSYCHOANALEPTICS	NA	NA	FALSE
10.1007/s40263-019-00672-w	methodology	1	NA	Treatment name 2	placebo	placebo	NA	NA	FALSE
10.1080/10428194.2019.1675881	methodology	1	NA	Treatment name 1	vmp (bortezomib/melphalan/prednisone)	NA	Nitrogen mustard analogues	NA	FALSE
10.1080/10428194.2019.1675881	methodology	1	NA	Treatment name 2	modified vmp schedule	NA	NA	NA	NA
10.1016/j.clinthera.2019.09.012	methodology	1	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	1	NA	Treatment name 2	ibrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	2	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	2	NA	Treatment name 2	bortezomib	Proteasome inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	3	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	3	NA	Treatment name 2	lenalidomide	Other immunosuppressants	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	4	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	4	NA	Treatment name 2	temsirolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	5	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	5	NA	Treatment name 2	ibrutinib + rituximab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	6	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	6	NA	Treatment name 2	bendamustine + rituximab	Nitrogen mustard analogues	Monoclonal antibodies	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	7	NA	Treatment name 1	acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitors	NA	NA	FALSE
10.1016/j.clinthera.2019.09.012	methodology	7	NA	Treatment name 2	lenalidomide + rituximab	Other immunosuppressants	Monoclonal antibodies	NA	FALSE
10.1007/s12325-019-01156-5	methodology	1	NA	Treatment name 1	apalutamide	Anti-androgens	NA	NA	FALSE
10.1007/s12325-019-01156-5	methodology	1	NA	Treatment name 2	enzalutamide	Anti-androgens	NA	NA	FALSE
10.2217/cer-2019-0145	methodology	1	NA	Treatment name 1	nivolumab	Monoclonal antibodies	NA	NA	FALSE
10.2217/cer-2019-0145	methodology	1	NA	Treatment name 2	routine clinical practice	supportive or standard of care	NA	NA	FALSE
10.2217/cer-2019-0169	methodology	1	NA	Treatment name 1	ozanimod	Selective immunosuppressants	NA	NA	FALSE
10.2217/cer-2019-0169	methodology	1	NA	Treatment name 2	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.2217/cer-2019-0169	methodology	2	NA	Treatment name 1	ozanimod	Selective immunosuppressants	NA	NA	FALSE
10.2217/cer-2019-0169	methodology	2	NA	Treatment name 2	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.2217/cer-2019-0169	methodology	3	NA	Treatment name 1	ozanimod	Selective immunosuppressants	NA	NA	FALSE
10.2217/cer-2019-0169	methodology	3	NA	Treatment name 2	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	1	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	1	NA	Treatment name 2	ifnÎ²-1b 250 Î¼g once every other day (q2d)	Interferons	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	2	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	2	NA	Treatment name 2	ifnÎ²-1a 22 Î¼g once weekly (qw)	Interferons	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	3	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	3	NA	Treatment name 2	natalizumab	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	4	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	4	NA	Treatment name 2	sc ifnÎ²-1a 22 Î¼g three times weekly	Interferons	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	5	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	5	NA	Treatment name 2	sc ifnÎ²-1a 44 Î¼g three times weekly	Interferons	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	6	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	6	NA	Treatment name 2	ifnÎ²-1b 8 miu once every other day	Interferons	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	7	NA	Treatment name 1	siponimod	Selective immunosuppressants	NA	NA	FALSE
10.1080/03007995.2020.1747999	methodology	7	NA	Treatment name 2	im ifnÎ²-1a 60 Î¼g once weekly	Interferons	NA	NA	FALSE
10.1080/09546634.2020.1747592	methodology	1	NA	Treatment name 1	ixekizumab	Interleukin inhibitors	NA	NA	FALSE
10.1080/09546634.2020.1747592	methodology	1	NA	Treatment name 2	guselkumab	Interleukin inhibitors	NA	NA	FALSE
10.1080/09546634.2020.1747592	methodology	2	NA	Treatment name 1	ixekizumab	Interleukin inhibitors	NA	NA	FALSE
10.1080/09546634.2020.1747592	methodology	2	NA	Treatment name 2	tildrakizumab 100mg	Interleukin inhibitors	NA	NA	FALSE
