ttt_name	simplified	category_1	category-1bis	"category_2 (second level ATC, therapeutic subgroup)"	ATC code		CAR-T cells	others
[177lu]lu-dota-tat	[177lu]lu-dota-tate	Peptide receptor radionucleide therapy		cancer therapy	V10XX04			
[177lu]lu-dota-tate	[177lu]lu-dota-tate	Peptide receptor radionucleide therapy			V10XX04			
/- second stem-cell transplantation (salvage-2)	stem-cell transplantation				NA	procedure		procedure
15-valent pneumococcal conjugate vaccine	pneumococcal vaccine	vaccine			J07AL			
20-valent pneumococcal conjugate vaccine	pneumococcal vaccine	vaccine			J07AL			
abemaciclib	abemaciclib	CDK inhibitor		immunotherapy	L01EF03			
abiraterone acetate	abiraterone acetate	Hormone antagonist		Endocrine therapy	L02BX03			
acalabrutinib	acalabrutinib	BTK Inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EL02			
acitretin	acitretin	Retinoid		Antipsoriatic	D05BB02			
adalimumab	adalimumab	TNF-α inhibitor monoclonal antibody		Immunosupressants	L04AB04			
adalimumab 150mg	adalimumab	TNF-α inhibitor monoclonal antibody		Immunosupressants	L04AB04			
adt	Androgen deprivation therapy			Endocrine therapy	L02BB			
alectinib	alectinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED03			
alemtuzumab	alemtuzumab	Monoclonal antibody anti-CD52		Immunosupressants	L04AA34			
amlodipine	amlodipine	Selective calcium channel blocker		Cardiovascular system	C08CA01			
"amlodipine 10mg,"	amlodipine	Selective calcium channel blocker		Cardiovascular system	C08CA01			
amlodipine 5 mg	amlodipine	Selective calcium channel blocker		Cardiovascular system	C08CA01			
apalutamide	apalutamide	Anti-androgen		Endocrine therapy	L02BB05			
apomorphine sublingual film	apomorphine	Dopamine agonist		Anti-parkinson drug	G04BE07			
apremilast	apremilast	PDE4 inhibitor		Immunosupressants	L04AA32			
ard of care	Standard of care				NA			supportive or standard of care
asunaprevir	asunaprevir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antiviral	J05AP06			
atezolizumab	atezolizumab	Monoclonal antibody PD-1/PDL-1 inhibitor		Antineoplastic agent	L01XC32			
atomoxetine	atomoxetine	Selective norepinephrine (noradrenaline) reuptake inhibitor		Psychoanaleptic	N06BA09			
avapritinib	avapritinib	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX18			
axicabtagene ciloleucel	axicabtagene ciloleucel	Anti-CD19 chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XX70		TRUE	
axitinib	axitinib	(VEGFR) tyrosine kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EK01			
azacitidine	azacitidine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC07			
baricitinib	baricitinib	JAK 1/2 inhibitor		Immunosupressants	L04AA37			
bax 855	bax 855	Recombinant FVIII (rFVIII) modified with PEG	Recombinant FVIII	Antihemorragics	B02BD02			
bay 81-8973	bay 81-8973	full-length unmodified recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
bay 81-8973 (recombinant factor viii)	bay 81-8973	full-length unmodified recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
bay 94-9027	bay 94-9027	B-domain-deleted (BDD) Recombinant FVIII (rFVIII) modified with PEG	Recombinant FVIII	Antihemorragics	B02BD02			
belantamab mafodotin	belantamab mafodotin	Anti B-cell maturation antigen (BCMA) antibody (+conjugated with a cytotoxic agent)		Antineoplastic agent	L01XC39			
bendamustine	bendamustine	Nitrogen mustard analogues	Alkylating agent	Antineoplastic agent	L01AA09			
benralizumab	benralizumab	Monoclonal antibody Anti-IL-5Rα	Interleukin inhibitors	Drug for obstructive airway diseases (Antiasthmatic)	R03DX10			
best supportive care	Best supportive care				NA			supportive or standard of care
best supportive care (bsc)	Best supportive care				NA			supportive or standard of care
betamethasone dipropionate aerosol foam	betamethasone dipropionate	Glucocorticoids		"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"	D07XC01			
bevacizumab	bevacizumab	Anti-VEGF antibody	Also used for age related macular degeneration	Antineoplastic agent	L01XC07			
binimetinib	binimetinib	Mitogen-activated protein kinase (MEK) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EE03			
bisoprolol	bisoprolol	"Beta blocking agents, selective"		Cardiovascular system	C07AB07			
bisoprolol 5 mg	bisoprolol	"Beta blocking agents, selective"		Cardiovascular system	C07AB07			
blinatumomab	blinatumomab	Bispecific T cell Engager (BiTE) monoclonal antibody		Antineoplastic agent	L01XC19			
boceprevir	boceprevir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antivirals for systemic use	J05AP03			
bortezomib	bortezomib	Proteasome inhibitors		Antineoplastic agent	L01XG01			
melphalan	melphalan	Nitrogen mustard analogues	Alkylating agent	Antineoplastic agent	L01AA03			
prednisone	prednisone	Glucocorticoids		CORTICOSTEROIDS FOR SYSTEMIC USE	H02AB07			
bosutinib	bosutinib	BCR-ABL tyrosine kinase inhibitors  	Protein kinase inhibitor	Antineoplastic agent	L01EA04			
brexanolone	brexanolone	Gaba-A modulator		Other antidepressants	N06AX29	officially available on new ATC classification 01.01.2023		
brigatinib	brigatinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED04			
brodalumab	brodalumab	Monoclonal antibody anti-IL-17RA	Interleukin inhibitors	Immunosupressants	L04AC12			
cabozantinb	cabozantinib	TK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX07			
cabozantinib	cabozantinib	TK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX07			
calcipotriene 0.005%	calcipotriene	synthetic vitamin D2 derivative		Antipsoriatic	D05AX02			
calcipotriol	calcipotriol	synthetic vitamin D2 derivative		Antipsoriatic	D05AX02			
carboplatin	carboplatin	Platinum compounds	alkylating agent	Antineoplastic agent	L01XA02			
carfilzomib	carfilzomib	Proteasome inhibitors		Antineoplastic agent	L01XG02			
carfizomib	carfilzomib	Proteasome inhibitors		Antineoplastic agent	L01XG02			
cb catheter (arctic front advancetm)					NA	procedure		procedure
cemiplimab	cemiplimab	Monoclonal antibody PD-1/PDL-1 inhibitor		Antineoplastic agent	L01XC33			
ceritinib	ceritinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED02			
certinib	ceritinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED02			
cetuximab	cetuximab	Monoclonal antibody EGFR inhibitor		Antineoplastic agent	L01XC06			
chemotherapy	chemotherapy			Antineoplastic agent	L01			
chlorambucil	chlorambucil	Nitrogen mustard analogues	Alkylating agent	Antineoplastic agent	L01AA02			
ciltacabtagene autoleucel	ciltacabtagene autoleucel	BCMA-directed chimeric antigen receptor (CAR) T-cell therapy	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL05	incoming 2023	TRUE	
cisplatin	cisplatin	Platinum compounds	alkylating agent	Antineoplastic agent	L01XA01			
cisplatin-based chemotherapy	cisplatin	Platinum compounds	alkylating agent	Antineoplastic agent	L01XA01			
cladribine	cladribine	Purine analogues	Antimetabolites	Antineoplastic agent / Immunosupressants	L01BB04			
cladribine tablets	cladribine	Purine analogues	Antimetabolites	Antineoplastic agent / Immunosupressants	L01BB04			
clofarabine	clofarabine	Purine analogues	Antimetabolites	Antineoplastic agent	L01BB06			
clofarabine monotherapy	clofarabine	Purine analogues	Antimetabolites	Antineoplastic agent	L01BB06			
cobimetinib	cobimetinib	Mitogen-activated protein kinase (MEK) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EE02			
copanlisib	copanlisib	Phosphatidylinositol-3-kinase (Pi3K) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EM02			
crisaborole	crisaborole	Phosphodiesterase 4 (PDE-4) inhibitor	agent for dermatitis	Dermatological preparation	D11AH06			
crisaborole ointment 2	crisaborole	Phosphodiesterase 4 (PDE-4) inhibitor	agent for dermatitis	Dermatological preparation	D11AH06			
crisaborole ointment 2%	crisaborole	Phosphodiesterase 4 (PDE-4) inhibitor	agent for dermatitis	Dermatological preparation	D11AH06			
crizotinib	crizotinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED01			
cryoballoon (cb) ablation					NA	procedure		procedure
cryoballoon (cb) ablation					NA	procedure		procedure
cyclophosphamide	cyclophosphamide	Nitrogen mustard analogues	Alkylating agent	Antineoplastic agent	L01AA01			
					L01AA03			
dabrafenib	dabrafenib	B-Raf serine-threonine kinase (BRAF) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EC02			
daclatasvir	daclatasvir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antivirals for systemic use	J05AP07			
dacomitinib	dacomitinib	EGFR tyrosine kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EB07			
damoctocog alfa pegol	damoctocog alfa pegol	Recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
damoctocog alfa pegol (bay 94-9027)	damoctocog alfa pegol	Recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
damoctocog alfa pegol (pooled prophylaxis)	damoctocog alfa pegol	Recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
damoctocog alfa pegol q5d	damoctocog alfa pegol	Recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
damoctocog alfa pegol q7d	damoctocog alfa pegol	Recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
damoctocog alfa pegol twice weekly	damoctocog alfa pegol	Recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
daratumumab	daratumumab	Monoclonal antibody CD38 inhibitor	 	Antineoplastic agent	L01XC24			
darolutamide	darolutamide	Hormone antagonist		Endocrine therapy	L02BB06			
dasatinib	dasatinib	BCR-ABL tyrosine kinase inhibitors  	Protein kinase inhibitor	Antineoplastic agent	L01EA02			
dbragenib	dabrafenib	B-Raf serine-threonine kinase (BRAF) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EC02			
decitabine	decitabine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC08			
delayed- release dimethyl fumarate	dimethyl fumarate	NRF2 Activator		Immunosupressants	L04AX07			
delayed-release dimethyl fumarate	dimethyl fumarate	NRF2 Activator		Immunosupressants	L04AX07			
deutetrabenazine	deutetrabenazine	vesiclar monoamine transporter type 2 inhibitor		Other nervous system drugs	N07XX16			
dexamethasone	dexamethasone	Glucocorticoids		Could fit different classifications	H02AB02	"H02AB02 is for systemic use, different ATC code for dexamethasone: A01AC02;C05AA09;D07AB19;D10AA03;H02AB02;R01AD03;S01BA01;S02BA06;S03BA01 all of them but H02AB02 are for local use"		
dimethyl fumarate	dimethyl fumarate	NRF2 Activator		Immunosupressants	L04AX07			
dimethyl fumarate 240 mg twice daily	dimethyl fumarate	NRF2 Activator		Immunosupressants	L04AX07			
dulaglutide	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dulaglutide 1.5 mg	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dulaglutide 3.0	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dulaglutide 3.0 mg	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dulaglutide 3.0mg	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dulaglutide 4.5 mg	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dulaglutide 4.5mg	dulaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ05			
dupilumab	dupilumab	Monoclonal antibody Anti-IL-4Rα	Agent for dermatitis	Dermatological preparation	D11AH05			
duvelisib	duvelisib	Phosphatidylinositol-3-kinase (Pi3K) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EM04			
emicizumab every 2 weeks	emicizumab	bispecific factor IXa- and factor X-directed antibody		Antihemorragics	B02BX06			
emicizumab every 4 weeks	emicizumab	bispecific factor IXa- and factor X-directed antibody		Antihemorragics	B02BX06			
emicizumab every week	emicizumab	bispecific factor IXa- and factor X-directed antibody		Antihemorragics	B02BX06			
emicizumab q1w	emicizumab	bispecific factor IXa- and factor X-directed antibody		Antihemorragics	B02BX06			
emicizumab q2w regimen	emicizumab	bispecific factor IXa- and factor X-directed antibody		Antihemorragics	B02BX06			
emicizumab q4w regimen	emicizumab	bispecific factor IXa- and factor X-directed antibody		Antihemorragics	B02BX06			
encorafenib	encorafenib	B-Raf serine-threonine kinase (BRAF) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EC03			
entrectinib	entrectinib	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX14			
enzalutamide	enzalutamide	Hormone antagonist		Endocrine therapy	L02BB04			
erenumab	erenumab	Monoclonal antibody calcitonin gene-related peptide (CGRP) antagonists		Antimigraine	N02CD01			
erlotinib	erlotinib	EGFR tyrosine kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EB02			
etanercept	etanercept	TNF-α inhibitor		Immunosupressants	L04AB01			
etoposide	etoposide	Podophyllotoxin derivatives		Antineoplastic agent	L01CB01			
everolimus	everolimus	mTOR kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent / Immunosupressants	L01EG02			
fingolimod	fingolimod	sphingosine 1-phosphate receptor modulator		Immunosupressants	L04AA27			
fingolimod 0.5mg	fingolimod	sphingosine 1-phosphate receptor modulator		Immunosupressants	L04AA27			
folfirinox					L01			
fulvestran	fulvestrant	Hormone antagonist		Endocrine therapy	L02BA03			
fulvestrant	fulvestrant	Hormone antagonist		Endocrine therapy	L02BA03			
fumaric acid esters	fumaric acid esters	Other antipsoriatics for topical use		Antipsoriatic	D05BX51			
					D05AX01			
fviiifc	rfviiifc	Recombinant Factor VIII Fc Fusion Protein	Recombinant FVIII	Antihemorragics	B02BD02			
galcanezumab	galcanezumab	Monoclonal antibody calcitonin gene-related peptide (CGRP) antagonists		Antimigraine	N02CD02			
gefitinib	gefitinib	EGFR tyrosine kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EB01			
gemcitabine	gemcitabine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC05			
glasdegib	glasdegib	Hedgehog pathway inhibitors		Antineoplastic agent	L01XJ03			
glatiramer acetate	glatiramer acetate			Immunostimulant ? or immunomodulator ? then should change all the immunosupressant to immunomodulator (treatment of multiple sclerosis)	L03AX13			
guanfacine extended release	guanfacine	Imidazoline receptor agonists		Cardiovascular system (Antihypertensive)	C02AC02			
guanfacine extended-release high dose	guanfacine	Imidazoline receptor agonists		Cardiovascular system (Antihypertensive)	C02AC02			
guanfacine extended-release low dose	guanfacine	Imidazoline receptor agonists		Cardiovascular system (Antihypertensive)	C02AC02			
guanfacine extended-release mid dose	guanfacine	Imidazoline receptor agonists		Cardiovascular system (Antihypertensive)	C02AC02			
guselkuma	guselkumab	Monoclonal antibody IL-23 inhibitor	Interleukin inhibitors	Immunosupressant	L04AC16			
guselkumab	guselkumab	Monoclonal antibody IL-23 inhibitor	Interleukin inhibitors	Immunosupressant	L04AC16			
halobetasol					D07AC21	Ulobetasol		
tazarotene					D05AX05			
ibrutinib	ibrutinib	BTK Inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EL01			
ibrutinib1	ibrutinib	BTK Inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EL01			
idecabtagene	idecabtagene vicleucel	BCMA-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL07	incoming 2023	TRUE	
idecabtagene vicleucel	idecabtagene vicleucel	BCMA-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL07	incoming 2023	TRUE	
idelalisib	idelalisib	Phosphatidylinositol-3-kinase (Pi3K) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EM01			
ifnβ-1a 22 μg once weekly (qw)	Interferon beta-1a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB07			
ifnβ-1b 250 μg once every other day (q2d)	Interferon beta-1b	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB08			
ifnβ-1b 8 miu once every other day	Interferon beta-1b	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB08			
im ifnβ-1a 60 μg once weekly	Interferon beta-1a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB07			
infliximab	infliximab	TNF-α inhibitor monoclonal antibody		Immunosupressants	L04AB02			
inotersen	inotersen	Antisense oligonucleotides		Other nervous system drugs	N07XX15			
inotuzumab ozogamicin	inotuzumab ozogamicin	CD22-directed antibody-drug conjugates		Antineoplastic agent	L01XC26			
intravenous methylprednisolone	Methylprednisolone	Glucocorticoids			H02AB04			
"intravitreally administered aflibercept (ivt-afl) : one injection every 8 weeks in the first year followed by prorenata regimen in the second year,"	Methylprednisolone	Glucocorticoids			S01LA05			
intravitreally administered aflibercept (ivt-afl) with 2 weeks adjustment	Methylprednisolone	Glucocorticoids			S01LA05			
intravitreally administered aflibercept 8 weeks	Methylprednisolone	Glucocorticoids			S01LA05			
intravitreally administered aflibercept treat-	Methylprednisolone	Glucocorticoids			S01LA05			
ipilimumab	ipilimumab	T-lymphocyte antigen 4 (CTLA-4) blocking monoclonal antibody		Antineoplastic agent	L01XC11			
ixekizumab	ixekizumab	IL-17A inhibitor monoclonal antibody	Interleukin inhibitors	Immunosupressants	L04AC13			
ledipasvir	ledipasvir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antivirals for systemic use	J05AP51			
lenalidomide	lenalidomide	immunomodulator ?		Antineoplastic agent / Immunosupressants	L04AX04			
lenalidomide-dexamethasone					L04AX04;H02AB02			
lenalidomide-dexamethasone 18 months (rd18)					L04AX04;H02AB02			
lenalidomide-dexamethasone continuou					L04AX04;H02AB02			
lenvatinib	lenvatinib	receptor tyrosine kinase (RTK) inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX08			
letrozole	letrozole	Hormone antagonist		Endocrine therapy	L02BG04			
levodopa inhalation powder	levodopa	Dopa and dopa derivatives		Anti-parkinson drug	N04BA01			
liso-cel	lisocabtagene maraleucel	CD19-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL	"not yet assigned, defaulting to the category where other CAR-T cells have been assigned"	TRUE	
lisocabtagene	lisocabtagene maraleucel	CD19-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL	"not yet assigned, defaulting to the ATC 44th level category where other CAR-T cells have been assigned"	TRUE	
