ttt_name	simplified	category_1	category-1bis	"category_2 (second level ATC, therapeutic subgroup)"	ATC code		CAR-T cells	others
lisocabtagene maraleucel	lisocabtagene maraleucel	CD19-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL	"not yet assigned, defaulting to the category where other CAR-T cells have been assigned"	TRUE	
lorlatinib	lorlatinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED05			
low-dos ecytarabine	cytarabine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC01			
low-dose cytarabine	cytarabine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC01			
low-dose cytarabine.	cytarabine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC01			
low-dose dexamethasone	dexamethasone	Glucocorticoids		Could fit different classifications	H02AB02	"H02AB02 is for systemic use, different ATC code for dexamethasone: A01AC02;C05AA09;D07AB19;D10AA03;H02AB02;R01AD03;S01BA01;S02BA06;S03BA01 all of them but H02AB02 are for local use"		
magnetic resonance-guided focused ultrasound					NA	procedure		procedure
melphalan-prednisone-thalidomide					L01AA03;L04AX02;H02AB07			
melphalan-prednisone-thalidomide (mpt)					L01AA03;L04AX02;H02AB07			
mepolizumab	mepolizumab	Anti-IL-5 monoclonal antibody	Interleukin inhibitors	Drug for obstructive airway diseases (Antiasthmatic)	R03DX09			
methotrexate	methotrexate	Folic acid analogues	Antimetabolites	Antineoplastic agent / Immunosupressants	L01BA01			
midostaurin	midostaurin	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX10			
modified bortezomib-melphalan-prednisone schedules					L01XG01;L01AA03;H02AB07			
modified vmp (bortezomib/melphalan/prednisone) schedule					L01XG01;L01AA03;H02AB07			
nab-paclitaxel	nab-paclitaxel	Taxane		Antineoplastic agent	L01CD01			
natalizumab	natalizumab	Anti-integrin alpha-4 monoclonal antibody		Immunosupressants	L04AA23			
nilotinib	nilotinib	BCR-ABL tyrosine kinase inhibitors  	Protein kinase inhibitor	Antineoplastic agent	L01EA03			
niraparib	niraparib	Poly (ADP-ribose) polymerase (PARP) inhibitors		Antineoplastic agent	L01XK02			
nivolumab	nivolumab	Monoclonal antibody PD-1/PDL-1 inhibitor		Antineoplastic agent	L01XC17			
nusinersen	nusinersen	Antisense oligonucleotides		Other drugs for disorders of the musculo-skeletal system	M09AX07			
obinutuzumab	obinutuzumab	Monoclonal antibody CD-20 inhibitors		Antineoplastic agent	L01XC15			
sofosbuvir/ ledipasvir					J05AP51			
olaparib	olaparib	Poly (ADP-ribose) polymerase (PARP) inhibitors		Antineoplastic agent	L01XK01			
onasemnogene abeparvovec	onasemnogene abeparvovec	gene therapy		Other drugs for disorders of the musculo-skeletal system	M09AX09			
onasemnogeneabeparvovec	onasemnogene abeparvovec	gene therapy		Other drugs for disorders of the musculo-skeletal system	M09AX09			
ozanimod	ozanimod	sphingosine-1-phosphate (S1P) receptor agonist		Immunosupressants	L04AA38			
padua downstaging protocol					L01			
padua surgical aggressive downstaging					L01			
palbociclib	palbociclib	Cyclin-dependent kinase (CDK) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EF01			
paliative therapy/salvage therapy					L01			
palliative therapy/salvage therapy					L01			
panitumumab	panitumumab	Monoclonal antibody EGFR inhibitor		Antineoplastic agent	L01XC08			
panobinostat	panobinostat	Histone deacetylase (HDAC) inhibitors		Antineoplastic agent	L01XH03			
patisiran	patisiran	mall interfering RNA (siRNA)		Other nervous system drugs	N07XX12			
"pcv20 (prevnar 20, a 20-valent pneumococcal conjugate vaccine)"	pneumoccocal vaccine	Vaccine			J07AL			
pegcetacoplan	pegcetacoplan	Complement C3 inhibitor	complement inhibitor	Immunosupressants ? complement inhibitor ?	L04AA54			
peginterferon alfa- 2a	pegInterferon alfa-2a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB11			
peginterferon alfa-2a	pegInterferon alfa-2a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB11			
peginterferon alpha 2a	pegInterferon alfa-2a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB11			
peginterferon beta-1a	pegInterferon beta-1a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB13			
peginterferon-alfa	pegInterferon alfa	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB11			
peginterferon-α	pegInterferon alfa	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB11			
pembrolizumab	pembrolizumab	Monoclonal antibody PD-1/PDL-1 inhibitor		Antineoplastic agent	L01XC18			
pemetrexed	pemetrexed	Folic acid analogues	Antimetabolites	Antineoplastic agent	L01BA04			
pemetrexed maintenance	pemetrexed	Folic acid analogues	Antimetabolites	Antineoplastic agent	L01BA04			
pemetrexed or docetaxel					L01BA04;L01CD02			
pemetrexed/docetaxel					L01BA04;L01CD02			
docetaxel	docetaxel	Taxane		Antineoplastic agent	L01CD02			
pimecrolimus 1%	pimecrolimus	calcineurin inhibitor	agent for dermatitis	Dermatological preparation	D11AH02			
placebo	placebo				NA			placebo
platinum	platinum	Platinum compounds	alkylating agent	Antineoplastic agent	L01XA			
platinum followed by pemetrexed maintenance					L01XA;L01BA04			
permetrexed maintenance	permetrexed	Folic acid analogues	Antimetabolites	Antineoplastic agent	L01BA04			
platinum-based chemotherapy					L01XA			
polychemotherapy/high-dose single-agent regimens/stem-cell transplantation (salvage-1)					L01XA			
pomalidomide	pomalidomide	immunomodulator ?		Antineoplastic agent / Immunosupressants	L04AX06			
ponatinib	ponatinib	BCR-ABL tyrosine kinase inhibitors  	Protein kinase inhibitor	Antineoplastic agent	L01EA05			
prior episodic treatment rfixfc	rFIXFc	Recombinant Factor IX Fc Fusion Protein	Recombinant FIX	Antihemorragics	B02BD04			
prior episodic treatment rix-fp	rIX-FP	Recombinant Factor IX albumin fusion protein	Recombinant FIX	Antihemorragics	B02BD04			
prior prophylaxis rfixfc	rFIXFc	Recombinant Factor IX Fc Fusion Protein	Recombinant FIX	Antihemorragics	B02BD04			
prior prophylaxis rix-fp	rIX-FP	Recombinant Factor IX albumin fusion protein	Recombinant FIX	Antihemorragics	B02BD04			
radiofrequency (rf) ablation with ablation index					NA	procedure		procedure
rahf-pfm	rAHF-PFM	Recombinant Factor VIII Plasma/Albumin Free Method	Recombinant FVIII	Antihemorragics	B02BD02			
rahf-pfm (2004 study)	rAHF-PFM	Recombinant Factor VIII Plasma/Albumin Free Method	Recombinant FVIII	Antihemorragics	B02BD02			
rahf-pfm (2012 study)	rAHF-PFM	Recombinant Factor VIII Plasma/Albumin Free Method	Recombinant FVIII	Antihemorragics	B02BD02			
rahf-pfm 2004	rAHF-PFM	Recombinant Factor VIII Plasma/Albumin Free Method	Recombinant FVIII	Antihemorragics	B02BD02			
rahf-pfm 2012	rAHF-PFM	Recombinant Factor VIII Plasma/Albumin Free Method	Recombinant FVIII	Antihemorragics	B02BD02			
rahf-pfm octocog alf					B02BD02			
rahf-pfm octocog alfa					B02BD02			
ramucirumab	ramucirumab	Anti-VEGF/VEGFR antibody		Antineoplastic agent	L01XC21			
ratiofrequency catheter ablation with ablation index					NA	procedure		procedure
ratiofrequency catheter ablation with cryoballoon					NA	procedure		procedure
ravulizumab	ravulizumab	Complement C5 inhibitor monoclonal antibody	complement inhibitor	Immunosupressants ? complement inhibitor ?	L04AA43			
recombinant fviiifc	FVIIIFc	Recombinant Factor VIII Fc Fusion Protein	Recombinant FVIII	Antihemorragics	B02BD02			
regorafenib	regorafenib	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX05			
remestemcel-l-rknd	remestemcel-L-rknd	Human mesenchymal stem cells	cellular therapy ??	Immunosupressants ??	L04A	immunosuppressants		
rfixfc (regimen prior to study entry : prior prophylaxis)	rFIXFc	Recombinant Factor IX Fc Fusion Protein	Recombinant FIX	Antihemorragics	B02BD04			
rfixfc (treatment regimen prior to study entry : prior on-dem	rFIXFc	Recombinant Factor IX Fc Fusion Protein	Recombinant FIX	Antihemorragics	B02BD04			
rfviiifc	rFVIIIFc	Recombinant Factor VIII Fc Fusion Protein	Recombinant FVIII	Antihemorragics	B02BD02			
rfviiifc (efmoroctocog alfa)	rFVIIIFc	Recombinant Factor VIII Fc Fusion Protein	Recombinant FVIII	Antihemorragics	B02BD02			
ribavirin	ribavirin	guanosine nucleoside	Antivirals for treatment of HCV infections	Antivirals for systemic use	J05AP01			
ribavirine	ribavirin	guanosine nucleoside	Antivirals for treatment of HCV infections	Antivirals for systemic use	J05AP01			
ribociclib	ribociclib	Cyclin-dependent kinase (CDK) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EF02			
rimegepant	rimegepant	Monoclonal antibody calcitonin gene-related peptide (CGRP) antagonists		Antimigraine	N02CD06			
risankizumab	risankizumab	Monoclonal antibody anti-IL-23	Interleukin inhibitors	Immunosupressants	L04AC18			
risdiplam	risdiplam	mRNA splicing modifier		Other drugs for disorders of the musculo-skeletal system	M09AX10			
rituximab	rituximab	Moncolonal antibody CD20 inhibitor		Antineoplastic agent / Immunosupressants	L01XC02			
rivaroxaban	rivaroxaban	Direct factor Xa inhibitors	AVK	Antithrombotic	B01AF01			
rix-fp	rIX-FP	Recombinant Factor IX albumin fusion protein	Recombinant FIX	Antihemorragics	B02BD04			
routine clinical practice					NA			supportive or standard of care
routine clinical practice (rcp)					NA			supportive or standard of care
ruxolitinib	ruxolitinib	Janus-associated kinase (JAK) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EJ01			
rviii-singlechain	rVIII-SingleChain	Single-chain recombinant human factor VIII	Recombinant FVIII	Antihemorragics	B02BD02			
rviii-singlechain lonoctocog alfa					B02BD02			
salvage chemotherapy					L01			
salvage chemotherapy/treatment					L01			
sc ifnβ-1a 22 μg three times weekly	Interferon beta-1a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB07			
sc ifnβ-1a 44 μg three times weekly	Interferon beta-1a	Interferons		Immunostimulant ? or immunomodulator ? antineoplastic ?	L03AB07			
second-generation cryoballoon (cb)					NA	procedure		procedure
secukinumab	secukinumab	Monoclonal antibody anti-IL-17A	Interleukin inhibitors	Immunosupressants	L04AC10			
secukinumab 150 mg	secukinumab	Monoclonal antibody anti-IL-17A	Interleukin inhibitors	Immunosupressants	L04AC10			
secukinumab 150mg	secukinumab	Monoclonal antibody anti-IL-17A	Interleukin inhibitors	Immunosupressants	L04AC10			
secukinumab 300 mg	secukinumab	Monoclonal antibody anti-IL-17A	Interleukin inhibitors	Immunosupressants	L04AC10			
secukinumab 300mg	secukinumab	Monoclonal antibody anti-IL-17A	Interleukin inhibitors	Immunosupressants	L04AC10			
selinexor	selinexor	Selective Inhibitor of Nuclear Export		Antineoplastic agent	L01XX66			
semaglutide	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
semaglutide 0.5	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
semaglutide 1.0 mg	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
semaglutide 1.0mg	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
semaglutide 2.0 m	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
semaglutide 2.0 mg	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
semaglutide 2.0mg	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
simeprevir	simeprevir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antiviral	J05AP05			
siponimod	siponimod	sphingosine-1-phosphate receptor modulator		Immunosupressants	L04AA42			
sitagliptin 100 mg	sitagliptin	Dipeptidyl peptidase 4 (DPP-4) inhibitors		antidiabetic	A10BH01			
sitagliptin 100 mg once daily	sitagliptin	Dipeptidyl peptidase 4 (DPP-4) inhibitors		antidiabetic	A10BH01			
sitagliptin 50 mg	sitagliptin	Dipeptidyl peptidase 4 (DPP-4) inhibitors		antidiabetic	A10BH01			
sitagliptin 50 mg once daily	sitagliptin	Dipeptidyl peptidase 4 (DPP-4) inhibitors		antidiabetic	A10BH01			
sofosbuvir	sofosbuvir	HCV NS5B nucleotide polymerase inhibitor	Antivirals for treatment of HCV infections	Antiviral	J05AP08			
sonidegib	sonidegib	Hedgehog pathway inhibitors		Antineoplastic agent	L01XJ02			
sunitinb	sunitinib	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX01			
sunitinib	sunitinib	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX01			
systemic therapy					NA			supportive or standard of care
tacrolimus 0.03%	tacrolimus	Calcineurin inhibitors		Immunosupressants	D11AH01			
tacrolimus 0.1%	tacrolimus	Calcineurin inhibitors		Immunosupressants	D11AH01			
tare using sir-spheres (radioembolization)					NA	procedure		procedure
tazemetostat	tazemetostat	EZH2 inhibitor		Antineoplastic agent	L01XX72			
telaprevir	telaprevir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antiviral	J05AP02			
temsirolimus	temsirolimus	mTOR kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent / Immunosupressants	L01EG01			
teprotumumab	teprotumumab	anti-IGF-1R blocking monoxlonal antibody		Immunosupressants ?? treatment of thyroid-eye disease	L04AA53			
teriflunomide	teriflunomide	inhibitor of dihydro-orotate dehydrogenase		Antineoplastic agent / Immunosupressants	L04AA31			
teriflunomide 14 mg	teriflunomide	inhibitor of dihydro-orotate dehydrogenase		Antineoplastic agent / Immunosupressants	L04AA31			
teriflunomide 14mg	teriflunomide	inhibitor of dihydro-orotate dehydrogenase		Antineoplastic agent / Immunosupressants	L04AA31			
teriflunomide 7 mg	teriflunomide	inhibitor of dihydro-orotate dehydrogenase		Antineoplastic agent / Immunosupressants	L04AA31			
teriflunomide 7mg	teriflunomide	inhibitor of dihydro-orotate dehydrogenase		Antineoplastic agent / Immunosupressants	L04AA31			
tetrabenazine	tetrabenazine	vesiclar monoamine transporter type 2 inhibitor		Other nervous system drugs	N07XX06			
thalidomide	thalidomide	Immunimodulator ?		Antineoplastic agent / Immunosupressants	L04AX02			
thermocool smarttouchtm catheter or the thermocool smarttouchtm sf catheter with ai/visitag surpointtm module					NA	procedure		procedure
thermocool smarttouch™/thermocool smarttouch™ sf catheter with ai (stai)					NA	procedure		procedure
tildrakizumab 100mg	tildrakizumab	Monoclonal antibody anti-IL23	Interleukin inhibitors	Immunosupressants	L04AC17			
tildrakizumab 200mg	tildrakizumab	Monoclonal antibody anti-IL23	Interleukin inhibitors	Immunosupressants	L04AC17			
tisagenlecleucel	tisagenlecleucel	CD19-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XX71			
tocilizumab	tocilizumab	Monoclonal antibody anti-IL6	Interleukin inhibitors	Immunosupressants	L04AC07			
tofacitinib	tofacitinib	JAK 1/3 inhibitor		Immunosupressants	L04AA29			
total disc replacemen					NA	procedure		procedure
total disc replacement (tdr)					NA	procedure		procedure
trametinib	trametinib	Mitogen-activated protein kinase (MEK) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EE01			
transarterial radioembolization using sir-spheres(R) y-90 resin microspheres					NA	procedure		procedure
turoctocog alfa	turoctocog alfa	truncated B-domain recombinant FVIII	Recombinant FVIII	Antihemorragics	B02BD02			
turoctocog alfa pegol	turoctocog alfa	truncated B-domain recombinant FVIII	Recombinant FVIII	Antihemorragics	B02BD02			
turoctocog alfa pegol (n8-gp)	turoctocog alfa	truncated B-domain recombinant FVIII	Recombinant FVIII	Antihemorragics	B02BD02			
umbralisib	umbralisib	inhibitor of PI3K-delta and CK1-epsilon		Antineoplastic agent	L01EX25	available 2023		
unilateral deep brain stimulation					NA	procedure		procedure
unilateral deep brain stimulation (dbs)					NA	procedure		procedure
upadacitinib	upadacitinib	JAK 1 inhibitor		Immunosupressants	L04AA44			
upadacitinib monotherapy	upadacitinib	JAK 1 inhibitor		Immunosupressants	L04AA44			
"v114 (vaxneuvance, a 15-valent pneumococcal conjugate vaccine)"	Pneumococcal vaccine	Vaccine			J07AL			
velcade	Bortezomib	Proteasome inhibitors		Antineoplastic agent	L01XG01			
vemurafenib	vemurafenib	B-Raf serine-threonine kinase (BRAF) inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EC01			
venetoclax	venetoclax	BCL-2 inhibitor		Antineoplastic agent	L01XX52			
vicleucel	Idecabtagene vicleucel	BCMA-directed chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XL07	incoming 2023	TRUE	
vildagliptin	vildagliptin	Dipeptidyl peptidase 4 (DPP-4) inhibitors		antidiabetic	A10BH02			
vildagliptin 50 mg twice daily	vildagliptin	Dipeptidyl peptidase 4 (DPP-4) inhibitors		antidiabetic	A10BH02			
vismodegib	vismodegib	Hedgehog pathway inhibitors		Antineoplastic agent	L01XJ01			
vmp (bortezomib/melphalan/prednisone)					L01AA03;L01XG01;H02AB07			
xxl protocol downstaging					L01			
xxl trial downstaging protocol					L01			
semaglutide 0.5  +  1 mg	semaglutide	Glucagon-like peptide-1 (GLP-1) analogues		antidiabetic	A10BJ06			
intravitreally administered aflibercept (ivt-afl) : one injection every 8 weeks in the first year followed by prorenata regimen in the second year	aflibercept	aflibercept; ophthalmic			S01LA05			
thermocool smarttouch /thermocool smarttouch sf catheter with ai (stai)					NA	procedure		procedure
transarterial radioembolization					NA	procedure		procedure
pimecrolimus 1	pimecrolimus	calcineurin inhibitor	agent for dermatitis	Dermatological preparation	D11AH02			
tacrolimus 0.03	tacrolimus	Calcineurin inhibitors		Immunosupressants	D11AH01			
vmp (bortezomib/melphalan/prednisone)					L01XG01;L01AA03;H02AB07			
modified vmp schedule					L01XG01;L01AA03;H02AB07			
calcipotriene 0.005/betamethasone dipropionate 0.064% foam					D05AX02;D07XC01			
halobetasol 0.01/tazarotene 0.045%					D07AC21;D05AX05			
st + ard of care					NA	procedure		procedure
total disc replacement					NA	procedure		procedure
fusion					NA	procedure		procedure
clofarabine + etoposide plus cyclophosphamide					L01BB06;L01CB01;L01AA01			
polychemotherapy/high-dose single-agent regimens/stem-cell transplantation (salvage-1)					NA	procedure		procedure
palliative therapy/salvage therapy <b1> second stem-cell transplantation (salvage-2)					NA	procedure		procedure
intravitreally administered aflibercept (ivt-afl) : one injection every 8 weeks in the first year	aflibercept	aflibercept; ophthalmic			S01LA05			
thermocool smarttouch					NA	procedure		procedure
vmp (bortezomib					L01XG01;L01AA03;H02AB07			
daratumumab-bortezomib-melphalan-prednisone					L01XC24;L01XG01;L01AA03;H02AB07			
lenalidomide-dexamethasone continuous					L04AX04;H02AB02			
lenalidomide-dexamethasone 18 months (rd18)					L04AX04;H02AB02			
melphalan-prednisone-thalidomide					L01AA03;L04AX02;H02AB07			
calcipotriene 0.005					D05AX02			
betamethasone dipropionate 0.064% foam					D07XC01			
halobetasol 0.01					D07AC21			
tazarotene 0.045%					D05AX05			
etoposide plus cyclophosphamide					L01CB01;L01AA01			
polychemotherapy					L01XA			
stem-cell transplantation (salvage-1)					NA	procedure		procedure
palliative therapy					NA	procedure		procedure
salvage therapy ? second stem-cell transplantation (salvage-2)					NA	procedure		procedure
