doi,PMID,included,full_article,exclusion_reasons,third,during_extraction
10.1002/pst.2210,35343622,FALSE,FALSE,methodological,FALSE,FALSE
10.1186/s40164-022-00268-z,35337365,TRUE,TRUE,NA,FALSE,FALSE
10.1080/10428194.2022.2047962,35289710,TRUE,TRUE,NA,FALSE,FALSE
10.3389/fphar.2022.757969,35281934,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/emp2.12655,35280921,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-022-02099-0,35279814,TRUE,TRUE,NA,FALSE,FALSE
10.1136/bmjopen-2021-058102,35277411,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.jaip.2022.02.034,35272073,FALSE,FALSE,no_paitc,FALSE,FALSE
10.3390/cancers14051285,35267593,FALSE,FALSE,methodological,FALSE,FALSE
10.2217/fon-2021-1102,35232230,TRUE,TRUE,NA,FALSE,FALSE
10.26355/eurrev_202202_28007,35179764,FALSE,FALSE,no_itc,FALSE,FALSE
10.1001/jamaophthalmol.2021.6284,35175308,TRUE,TRUE,NA,FALSE,FALSE
10.3390/cancers14030538,35158805,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1007/s12325-022-02054-z,35157216,TRUE,TRUE,NA,FALSE,FALSE
10.1161/hypertensionaha.121.18415,35138877,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1111/dom.14664,35129275,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1177/23814683221077643,35128059,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.2217/fon-2021-1509,35114819,TRUE,TRUE,NA,FALSE,FALSE
NA,35106186,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.rmed.2020.105999,35090692,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.rmed.2020.106088,35090691,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.rmed.2020.106065,35090690,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.rmed.2020.105991,35090688,FALSE,TRUE,no_paitc,FALSE,FALSE
10.2217/imt-2021-0273,35073727,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0178,35068168,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.clinthera.2021.11.015,35058055,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s11255-022-03107-6,35044552,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2022.2030112,35042448,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0216,35040693,TRUE,TRUE,NA,FALSE,FALSE
10.1182/bloodadvances.2021006280,35030634,FALSE,TRUE,no_paitc,FALSE,FALSE
10.7759/cureus.21065,35028245,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1097/mao.0000000000003464,34999620,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1101/2021.12.22.21268253,34981073,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/10428194.2021.2010069,34978255,TRUE,TRUE,NA,FALSE,FALSE
10.7759/cureus.19893,34966607,FALSE,FALSE,no_paitc,FALSE,FALSE
10.5414/cn110516,34931610,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1210/clinem/dgab905,34922383,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.ejcsup.2021.06.003,34912479,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1016/j.ejcsup.2021.06.002,34912478,TRUE,TRUE,NA,FALSE,FALSE
10.3390/cancers13235996,34885106,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s13555-021-00646-1,34877623,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.yebeh.2021.108429,34864380,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s40273-021-01113-7,34841472,FALSE,FALSE,no_itc,FALSE,FALSE
10.1007/s40261-021-01100-y,34822128,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1007/s12325-021-01885-6,34797506,TRUE,TRUE,NA,FALSE,FALSE
10.2147/ptt.s326121,34765537,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.reumae.2020.05.009,34756316,FALSE,FALSE,other_paitc,FALSE,FALSE
10.2147/jbm.s321288,34754257,TRUE,TRUE,NA,FALSE,FALSE
10.2147/cmar.s325043,34754238,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0221,34751591,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.jhqr.2021.09.003,34740549,FALSE,FALSE,methodological,FALSE,FALSE
10.1177/17562872211053189,34733356,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s13300-021-01156-1,34714524,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1007/s13300-021-01159-y,34714523,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1080/14760584.2021.1994858,34672224,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s40273-021-01098-3,34664200,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.ejca.2021.08.028,34663559,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1055/a-1669-4987,34649296,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2021.1991294,34641745,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/jgh3.12643,34621996,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1177/17588359211049639,34616492,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0203,34608814,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1182/bloodadvances.2020004045,34597381,FALSE,FALSE,no_paitc,FALSE,FALSE
10.3389/fonc.2021.698199,34589422,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/10428194.2021.1984462,34586007,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1007/s12325-021-01884-7,34561812,TRUE,TRUE,NA,FALSE,FALSE
10.1007/978-1-0716-1566-9_12,34550592,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.gie.2021.09.010,34543649,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-021-01902-8,34537953,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1186/s13045-021-01144-9,34493319,TRUE,TRUE,NA,FALSE,FALSE
10.1186/s12885-021-08588-9,34488679,FALSE,FALSE,no_paitc,FALSE,FALSE
NA,34484486,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/17474086.2021.1970522,34465265,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1080/03007995.2021.1971182,34445916,TRUE,TRUE,NA,FALSE,FALSE
10.5664/jcsm.9610,34402784,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1111/dom.14518,34402153,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2021.1968362,34384311,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s40257-021-00622-7,34383273,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1016/j.jval.2021.01.015,34372977,FALSE,FALSE,not_original_article,FALSE,FALSE
10.13702/j.1000-0607.200544,34369674,FALSE,FALSE,no_human,FALSE,FALSE
10.1007/s12325-021-01853-0,34368918,TRUE,TRUE,NA,FALSE,FALSE
10.1186/s12962-021-00299-z,34348729,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1080/13696998.2021.1957582,34340647,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1111/pai.13609,34324742,FALSE,FALSE,methodological,FALSE,FALSE
10.1186/s12885-021-08605-x,34301232,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s41669-021-00288-1,34292540,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1111/dom.14497,34286894,TRUE,TRUE,NA,FALSE,FALSE
10.2147/jbm.s312885,34285621,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.annepidem.2021.07.003,34280545,FALSE,FALSE,no_paitc,FALSE,FALSE
10.18553/jmcp.2021.21080,34278835,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/edm2.259,34277983,TRUE,TRUE,NA,FALSE,FALSE
10.3389/fonc.2021.693542,34277438,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.seizure.2021.06.020,34274891,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2021.1953456,34256668,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s40258-021-00666-0,34250585,FALSE,FALSE,other_paitc,FALSE,FALSE
10.1007/s12325-021-01846-z,34250584,TRUE,TRUE,NA,FALSE,FALSE
10.1080/03007995.2021.1947216,34236007,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0097,34231369,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/jrsm.1511,34196111,FALSE,FALSE,methodological,FALSE,FALSE
10.2147/ceor.s305296,34168470,FALSE,FALSE,other_paitc,FALSE,FALSE
10.1080/13696998.2021.1941065,34114935,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/13696998.2021.1937188,34098842,FALSE,TRUE,no_paitc,FALSE,FALSE
10.3389/fphar.2021.671845,34093199,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1186/s12874-021-01290-1,34074239,FALSE,FALSE,no_paitc,FALSE,FALSE
10.3390/cancers13102406,34067521,TRUE,TRUE,NA,FALSE,FALSE
10.3390/biom11060780,34067288,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s12325-021-01767-x,34021886,FALSE,TRUE,result_not_described,FALSE,FALSE
10.1111/head.14128,34021585,TRUE,TRUE,NA,FALSE,FALSE
10.1002/sim.9031,34018204,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.3389/fphar.2021.631204,34012392,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.cpcardiol.2021.100835,33992428,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.msard.2021.102972,33979770,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s12325-021-01756-0,33970454,TRUE,TRUE,NA,FALSE,FALSE
10.1001/jamapediatrics.2021.0347,33970192,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/sim.8857,33963582,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1080/10428194.2021.1913144,33955326,TRUE,TRUE,NA,FALSE,FALSE
10.1136/bmjdrc-2020-001313,33941549,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/lary.29586,33929726,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/10428194.2021.1913143,33896344,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.carrev.2021.04.013,33888418,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1002/14651858.cd011535.pub4,33871055,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1186/s13075-021-02487-x,33863352,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s40263-021-00805-0,33847901,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.lungcan.2021.03.020,33839603,TRUE,TRUE,NA,FALSE,FALSE
10.1093/jnci/djab071,33830214,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s12325-021-01700-2,33822328,TRUE,TRUE,NA,FALSE,FALSE
10.1097/ju.0000000000001767,33818140,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s40273-021-01023-8,33791945,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1016/j.jtct.2020.12.023,33781519,FALSE,TRUE,result_not_described,FALSE,FALSE
10.36469/jheor.2021.19008,33768123,TRUE,TRUE,NA,FALSE,FALSE
10.1002/ehf2.13313,33749159,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s00432-021-03602-w,33745079,TRUE,TRUE,NA,FALSE,FALSE
10.1080/03007995.2021.1896489,33733983,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2020-0280,33733815,TRUE,TRUE,NA,FALSE,FALSE
10.7399/fh.11443,33709889,FALSE,FALSE,methodological,FALSE,FALSE
10.1080/13696998.2021.1901721,33691581,FALSE,TRUE,result_not_described,FALSE,FALSE
10.1007/s40261-021-01013-w,33687695,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1002/pst.2106,33675139,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1007/s12325-021-01659-0,33674928,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.2147/jbm.s288283,33664606,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s40268-021-00337-4,33646565,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/09546634.2021.1892024,33641593,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.jad.2021.02.027,33640861,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s11523-021-00803-8,33638735,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2020-0272,33626934,TRUE,TRUE,NA,FALSE,FALSE
10.1080/17474124.2021.1880319,33599181,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s40261-021-01012-x,33598857,FALSE,FALSE,no_itc,FALSE,FALSE
10.1016/j.esmoop.2021.100050,33556898,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.jaip.2021.01.031,33548517,FALSE,FALSE,no_paitc,FALSE,FALSE
10.36469/jheor.2021.18727,33521161,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s00345-021-03595-8,33515055,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1177/1756286420975916,33488773,TRUE,TRUE,NA,FALSE,FALSE
10.1177/0333102421989247,33472427,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1111/imj.15210,33469994,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/13696998.2021.1875743,33461352,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1177/0272989x20983315,33448252,FALSE,FALSE,no_paitc,FALSE,FALSE
10.2217/cer-2020-0236,33442996,TRUE,TRUE,NA,FALSE,FALSE
10.2147/oarrr.s277036,33376418,FALSE,FALSE,no_itc,FALSE,FALSE
10.1186/s12874-020-01198-2,33435879,FALSE,FALSE,methodological,FALSE,FALSE
10.1007/s13300-020-00989-6,33423240,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/13696998.2020.1867443,33393412,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-020-01599-1,33377987,TRUE,TRUE,NA,FALSE,FALSE
10.1038/s41598-020-79033-3,33339864,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1186/s12962-020-00244-6,33292314,FALSE,TRUE,other_paitc,FALSE,FALSE
10.3390/cancers12123648,33291810,TRUE,TRUE,NA,FALSE,FALSE
10.1186/s12916-020-01837-x,33267884,FALSE,TRUE,no_paitc,FALSE,FALSE
NA,33570887,FALSE,FALSE,not_original_article,FALSE,FALSE
NA,33555772,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1007/s40744-020-00257-w,33244703,TRUE,TRUE,NA,FALSE,FALSE
10.2217/imt-2020-0266,33228440,TRUE,TRUE,NA,FALSE,FALSE
10.1080/22221751.2020.1854624,33215981,FALSE,FALSE,no_itc,FALSE,FALSE
10.1177/1479164120973653,33213193,FALSE,TRUE,no_paitc,FALSE,FALSE
10.7150/jca.48944,33193875,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s11154-020-09608-y,33155118,FALSE,FALSE,no_itc,FALSE,FALSE
10.1007/s40273-020-00971-x,33145711,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1002/jrsm.1466,33131206,FALSE,FALSE,methodological,FALSE,FALSE
10.1002/cncr.33270,33119182,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/sim.8789,33111986,FALSE,FALSE,methodological,FALSE,FALSE
10.2217/cer-2020-0122,33090003,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.anndiagpath.2020.151638,33069083,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1007/s12325-020-01521-9,33067698,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1055/s-0040-1716496,33062927,FALSE,FALSE,no_itc,FALSE,FALSE
10.4187/respcare.07925,33051255,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.earlhumdev.2020.105191,33036834,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1002/sim.8759,33015906,FALSE,FALSE,methodological,FALSE,FALSE
10.1007/s12325-020-01507-7,33001384,FALSE,FALSE,no_paitc,FALSE,FALSE
NA,33570892,FALSE,TRUE,not_original_article,FALSE,FALSE
10.1186/s12874-020-01124-6,32993519,FALSE,FALSE,methodological,FALSE,FALSE
10.1177/1740774520944855,32957804,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1177/1533033820943241,32914703,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/14656566.2020.1811850,32892660,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s00464-020-07920-x,32856150,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.cct.2020.106123,32853779,FALSE,FALSE,methodological,FALSE,FALSE
10.1016/j.rmed.2020.106106,32839071,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1210/clinem/dgaa577,32827435,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/ajh.25963,32804408,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1212/nxi.0000000000000878,32801167,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.clinthera.2020.06.017,32798057,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s00268-020-05721-w,32761259,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/17474086.2020.1793666,32749937,FALSE,FALSE,no_itc,FALSE,FALSE
10.1186/s13756-020-00784-9,32736593,FALSE,FALSE,no_paitc,FALSE,FALSE
10.5468/ogs.20080,32727171,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.reuma.2020.05.004,32693948,FALSE,FALSE,other_paitc,FALSE,FALSE
10.1111/rssa.12579,32684669,FALSE,FALSE,methodological,FALSE,FALSE
10.3390/cancers12071905,32679702,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.eplepsyres.2020.106403,32673969,FALSE,FALSE,no_paitc,FALSE,FALSE
10.2147/copd.s230955,32669839,FALSE,FALSE,no_itc,FALSE,FALSE
10.1177/0272989x20929309,32659160,FALSE,FALSE,methodological,FALSE,FALSE
10.2217/cer-2020-0063,32648475,TRUE,TRUE,NA,FALSE,FALSE
10.1136/bmj.m2288,32636183,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1111/dom.14136,32627297,FALSE,FALSE,no_paitc,FALSE,FALSE
10.2217/cer-2020-0069,32602756,TRUE,TRUE,NA,FALSE,FALSE
10.1002/bimj.201900339,32596834,FALSE,FALSE,methodological,FALSE,FALSE
10.3310/hta24280,32568666,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.bbmt.2020.06.008,32561336,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.jclinepi.2020.06.012,32540383,FALSE,FALSE,methodological,FALSE,FALSE
10.1016/j.jval.2020.02.008,32540233,FALSE,FALSE,methodological,FALSE,FALSE
10.1007/s12325-020-01397-9,32524498,FALSE,FALSE,methodological,FALSE,FALSE
10.1136/bmjopen-2019-034280,32499262,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.2217/cer-2020-0042,32490682,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1186/s12916-020-01591-0,32475340,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1371/journal.pone.0233686,32470056,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1186/s13195-020-00630-5,32456710,FALSE,FALSE,no_itc,FALSE,FALSE
10.1155/2020/1892584,32454812,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-020-01378-y,32424805,TRUE,TRUE,NA,FALSE,FALSE
10.1080/13696998.2020.1770261,32412387,FALSE,FALSE,other_paitc,FALSE,FALSE
10.1002/jrsm.1416,32395870,FALSE,FALSE,methodological,FALSE,FALSE
10.1111/jcpt.13153,32386269,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.ejca.2020.03.011,32380428,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1136/rmdopen-2019-001131,32371431,TRUE,TRUE,NA,FALSE,FALSE
10.1007/s10067-020-05051-1,32367407,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.jval.2019.11.003,32327161,FALSE,FALSE,review,FALSE,FALSE
10.3389/fphar.2020.00400,32308623,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/cpt.1854,32301116,FALSE,FALSE,no_itc,FALSE,FALSE
10.1080/09546634.2020.1747592,32299269,TRUE,TRUE,NA,FALSE,FALSE
10.3390/cancers12040942,32290309,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.clml.2020.02.018,32278674,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s00464-020-07527-2,32253560,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-020-01298-x,32222903,TRUE,TRUE,NA,FALSE,FALSE
10.1093/eurheartj/ehaa184,32221596,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2020.1747999,32220214,TRUE,TRUE,NA,FALSE,FALSE
10.1080/13696998.2020.1745535,32208038,FALSE,FALSE,no_paitc,FALSE,FALSE
10.18553/jmcp.2020.19306,32191592,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1186/s40164-020-00160-8,32190414,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s10792-020-01314-7,32185590,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1371/journal.pone.0228846,32182248,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1364/oe.386152,32122024,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1002/pst.2011,32115845,FALSE,FALSE,methodological,FALSE,FALSE
10.1016/j.therap.2019.11.007,32063399,FALSE,FALSE,methodological,FALSE,FALSE
10.1016/j.jacc.2019.11.058,32057373,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1097/md.0000000000019142,32049837,FALSE,FALSE,no_paitc,FALSE,FALSE
10.3390/ijms21030889,32019141,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2020.1725742,32011182,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/s1470-2045(19)30729-6,32007196,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1080/13696998.2020.1722139,31985301,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2019-0169,31948278,TRUE,TRUE,NA,FALSE,FALSE
10.1111/cea.13561,31943429,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.clinthera.2019.11.011,31932080,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s40273-019-00882-6,31930460,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1038/s41467-019-13965-x,31919360,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.1002/14651858.cd011535.pub3,31917873,FALSE,FALSE,no_paitc,FALSE,FALSE
10.2217/cer-2019-0163,31916448,FALSE,FALSE,no_paitc,FALSE,FALSE
10.2217/cer-2019-0145,31872771,TRUE,TRUE,NA,FALSE,FALSE
10.1186/s12962-019-0193-4,31871432,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-019-01173-4,31865547,TRUE,TRUE,NA,FALSE,FALSE
10.1371/journal.pone.0225882,31856172,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-019-01169-0,31838711,FALSE,FALSE,not_original_article,FALSE,FALSE
